2025/06/09-16:53:09.868960,1749455589.868908268,52.40
2025/06/09-16:53:09.879124,1749455589.879058310,66.26
2025/06/09-16:53:09.889256,1749455589.889188694,67.99
2025/06/09-16:53:09.899379,1749455589.899319314,60.66
2025/06/09-16:53:09.909507,1749455589.909441707,65.81
2025/06/09-16:53:09.919629,1749455589.919569094,60.16
2025/06/09-16:53:09.929750,1749455589.929691005,59.14
2025/06/09-16:53:09.939862,1749455589.939796519,66.10
2025/06/09-16:53:09.949986,1749455589.949924707,61.57
2025/06/09-16:53:09.960109,1749455589.960047900,61.30
2025/06/09-16:53:09.970230,1749455589.970170731,59.38
2025/06/09-16:53:09.980356,1749455589.980291715,64.78
2025/06/09-16:53:09.990479,1749455589.990417180,62.41
2025/06/09-16:53:10.000600,1749455590.000541135,59.05
2025/06/09-16:53:10.010726,1749455590.010662245,64.71
2025/06/09-16:53:10.020854,1749455590.020788713,65.59
2025/06/09-16:53:10.030976,1749455590.030916131,60.85
2025/06/09-16:53:10.041102,1749455590.041038743,63.72
2025/06/09-16:53:10.051228,1749455590.051163853,64.29
2025/06/09-16:53:10.061348,1749455590.061289451,59.46
2025/06/09-16:53:10.071471,1749455590.071409818,61.76
2025/06/09-16:53:10.081604,1749455590.081533853,70.27
2025/06/09-16:53:10.091727,1749455590.091665829,61.43
2025/06/09-16:53:10.101859,1749455590.101788902,70.66
2025/06/09-16:53:10.111980,1749455590.111921369,59.29
2025/06/09-16:53:10.122103,1749455590.122041908,61.38
2025/06/09-16:53:10.132226,1749455590.132165240,61.13
2025/06/09-16:53:10.142350,1749455590.142287981,62.73
2025/06/09-16:53:10.152480,1749455590.152411905,68.41
2025/06/09-16:53:10.162601,1749455590.162542455,59.13
2025/06/09-16:53:10.172726,1749455590.172663176,63.35
2025/06/09-16:53:10.182848,1749455590.182788343,60.40
2025/06/09-16:53:10.192978,1749455590.192910445,67.69
2025/06/09-16:53:10.203099,1749455590.203039643,59.70
2025/06/09-16:53:10.213220,1749455590.213161029,59.51
2025/06/09-16:53:10.223340,1749455590.223281364,59.20
2025/06/09-16:53:10.233463,1749455590.233402195,60.91
2025/06/09-16:53:10.243582,1749455590.243524804,57.52
2025/06/09-16:53:10.253702,1749455590.253643634,59.28
2025/06/09-16:53:10.263828,1749455590.263764345,64.55
2025/06/09-16:53:10.273949,1749455590.273890730,59.02
2025/06/09-16:53:10.284071,1749455590.284011615,59.92
2025/06/09-16:53:10.294201,1749455590.294133080,68.03
2025/06/09-16:53:10.304324,1749455590.304262466,61.75
2025/06/09-16:53:10.314446,1749455590.314385781,60.46
2025/06/09-16:53:10.324566,1749455590.324507815,58.90
2025/06/09-16:53:10.334687,1749455590.334628720,59.03
2025/06/09-16:53:10.344808,1749455590.344749463,59.24
2025/06/09-16:53:10.354931,1749455590.354870290,61.20
2025/06/09-16:53:10.365051,1749455590.364992619,59.25
2025/06/09-16:53:10.375171,1749455590.375113200,58.73
2025/06/09-16:53:10.385295,1749455590.385233820,61.46
2025/06/09-16:53:10.395416,1749455590.395356905,59.75
2025/06/09-16:53:10.405540,1749455590.405478312,62.24
2025/06/09-16:53:10.415671,1749455590.415602183,68.87
2025/06/09-16:53:10.425791,1749455590.425732485,59.21
2025/06/09-16:53:10.435915,1749455590.435853372,61.63
2025/06/09-16:53:10.446034,1749455590.445976696,57.87
2025/06/09-16:53:10.456153,1749455590.456096166,57.72
2025/06/09-16:53:10.466286,1749455590.466215821,71.13
2025/06/09-16:53:10.476407,1749455590.476348509,59.03
2025/06/09-16:53:10.486540,1749455590.486469406,71.29
2025/06/09-16:53:10.496662,1749455590.496602318,60.35
2025/06/09-16:53:10.506788,1749455590.506724501,63.70
2025/06/09-16:53:10.516907,1749455590.516849581,58.21
2025/06/09-16:53:10.527032,1749455590.526968624,63.40
2025/06/09-16:53:10.537153,1749455590.537093733,59.40
2025/06/09-16:53:10.547272,1749455590.547214524,57.77
2025/06/09-16:53:10.557395,1749455590.557333818,61.38
2025/06/09-16:53:10.567521,1749455590.567456675,64.90
2025/06/09-16:53:10.577652,1749455590.577582895,69.13
2025/06/09-16:53:10.587774,1749455590.587713888,61.03
2025/06/09-16:53:10.597901,1749455590.597836334,65.13
2025/06/09-16:53:10.608020,1749455590.607963198,57.66
2025/06/09-16:53:10.618140,1749455590.618082458,58.02
2025/06/09-16:53:10.628273,1749455590.628201937,71.60
