2025/06/09-16:48:16.321256,1749455296.321217385,39.23
2025/06/09-16:48:16.331400,1749455296.331353656,46.44
2025/06/09-16:48:16.341509,1749455296.341462278,47.23
2025/06/09-16:48:16.351620,1749455296.351571114,48.95
2025/06/09-16:48:16.361730,1749455296.361681350,49.49
2025/06/09-16:48:16.371843,1749455296.371793611,50.18
2025/06/09-16:48:16.381952,1749455296.381905026,47.74
2025/06/09-16:48:16.392059,1749455296.392013706,45.94
2025/06/09-16:48:16.402168,1749455296.402120539,47.71
2025/06/09-16:48:16.412274,1749455296.412229278,44.84
2025/06/09-16:48:16.422382,1749455296.422334647,47.63
2025/06/09-16:48:16.432489,1749455296.432443197,46.72
2025/06/09-16:48:16.442596,1749455296.442550346,46.10
2025/06/09-16:48:16.452701,1749455296.452657563,44.34
2025/06/09-16:48:16.462807,1749455296.462762380,45.38
2025/06/09-16:48:16.472915,1749455296.472868424,47.00
2025/06/09-16:48:16.483024,1749455296.482976643,48.09
2025/06/09-16:48:16.493130,1749455296.493085506,45.46
2025/06/09-16:48:16.503238,1749455296.503191653,46.45
2025/06/09-16:48:16.513345,1749455296.513298779,46.48
2025/06/09-16:48:16.523452,1749455296.523405317,46.99
2025/06/09-16:48:16.533558,1749455296.533513537,44.99
2025/06/09-16:48:16.543666,1749455296.543618875,47.88
2025/06/09-16:48:16.553773,1749455296.553727431,46.48
2025/06/09-16:48:16.563882,1749455296.563834750,48.20
2025/06/09-16:48:16.573990,1749455296.573942905,47.57
2025/06/09-16:48:16.584099,1749455296.584051243,47.89
2025/06/09-16:48:16.594206,1749455296.594159933,46.39
2025/06/09-16:48:16.604314,1749455296.604267063,47.56
2025/06/09-16:48:16.614419,1749455296.614375030,44.22
2025/06/09-16:48:16.624525,1749455296.624480085,45.66
2025/06/09-16:48:16.634633,1749455296.634587001,46.02
2025/06/09-16:48:16.644743,1749455296.644693605,50.35
2025/06/09-16:48:16.654853,1749455296.654804718,48.47
2025/06/09-16:48:16.664960,1749455296.664914049,46.32
2025/06/09-16:48:16.675067,1749455296.675020410,46.75
2025/06/09-16:48:16.685174,1749455296.685128039,46.27
2025/06/09-16:48:16.695281,1749455296.695234802,46.33
2025/06/09-16:48:16.705387,1749455296.705341468,46.39
2025/06/09-16:48:16.715497,1749455296.715448855,48.25
2025/06/09-16:48:16.725605,1749455296.725557995,47.29
2025/06/09-16:48:16.735713,1749455296.735666012,47.05
2025/06/09-16:48:16.745819,1749455296.745773639,45.83
2025/06/09-16:48:16.755928,1749455296.755880430,47.75
2025/06/09-16:48:16.766035,1749455296.765988973,46.80
2025/06/09-16:48:16.776143,1749455296.776096293,47.00
2025/06/09-16:48:16.786250,1749455296.786204125,46.46
2025/06/09-16:48:16.796356,1749455296.796311239,45.70
2025/06/09-16:48:16.806466,1749455296.806417890,48.74
2025/06/09-16:48:16.816575,1749455296.816527078,48.05
2025/06/09-16:48:16.826681,1749455296.826635328,45.98
2025/06/09-16:48:16.836789,1749455296.836742315,47.47
2025/06/09-16:48:16.846897,1749455296.846850516,46.97
2025/06/09-16:48:16.857003,1749455296.856958212,45.69
2025/06/09-16:48:16.867110,1749455296.867064624,45.95
2025/06/09-16:48:16.877216,1749455296.877170793,45.80
2025/06/09-16:48:16.887324,1749455296.887277445,47.14
2025/06/09-16:48:16.897430,1749455296.897385430,45.07
2025/06/09-16:48:16.907538,1749455296.907491532,46.96
2025/06/09-16:48:16.917645,1749455296.917599260,46.50
2025/06/09-16:48:16.927751,1749455296.927705818,46.03
2025/06/09-16:48:16.937857,1749455296.937812851,44.61
2025/06/09-16:48:16.947964,1749455296.947918195,45.82
2025/06/09-16:48:16.958072,1749455296.958024595,47.45
2025/06/09-16:48:16.968181,1749455296.968132681,49.16
2025/06/09-16:48:16.978287,1749455296.978241778,45.48
2025/06/09-16:48:16.988395,1749455296.988348912,46.95
2025/06/09-16:48:16.998502,1749455296.998456330,46.56
2025/06/09-16:48:17.008610,1749455297.008563484,47.28
2025/06/09-16:48:17.018718,1749455297.018672060,46.20
2025/06/09-16:48:17.028826,1749455297.028778974,47.65
2025/06/09-16:48:17.038933,1749455297.038887537,45.66
2025/06/09-16:48:17.049042,1749455297.048993943,48.77
2025/06/09-16:48:17.059150,1749455297.059103390,47.09
2025/06/09-16:48:17.069256,1749455297.069210921,45.62
2025/06/09-16:48:17.079364,1749455297.079316811,47.88
2025/06/09-16:48:17.089486,1749455297.089440174,46.60
2025/06/09-16:48:17.099593,1749455297.099548496,45.14
2025/06/09-16:48:17.109700,1749455297.109654568,45.91
2025/06/09-16:48:17.119811,1749455297.119763486,48.36
2025/06/09-16:48:17.129923,1749455297.129875289,48.50
2025/06/09-16:48:17.140032,1749455297.139984895,47.17
2025/06/09-16:48:17.150139,1749455297.150093316,45.94
2025/06/09-16:48:17.160246,1749455297.160199493,47.19
2025/06/09-16:48:17.170355,1749455297.170307786,48.13
2025/06/09-16:48:17.180464,1749455297.180416649,47.47
2025/06/09-16:48:17.190571,1749455297.190524850,46.32
2025/06/09-16:48:17.200679,1749455297.200632012,47.76
2025/06/09-16:48:17.210786,1749455297.210739791,47.03
2025/06/09-16:48:17.220896,1749455297.220848473,47.80
2025/06/09-16:48:17.231003,1749455297.230957144,46.31
2025/06/09-16:48:17.241110,1749455297.241064229,46.28
2025/06/09-16:48:17.251217,1749455297.251171268,46.24
2025/06/09-16:48:17.261324,1749455297.261278467,45.60
2025/06/09-16:48:17.271431,1749455297.271385462,46.32
2025/06/09-16:48:17.281538,1749455297.281492320,46.53
2025/06/09-16:48:17.291648,1749455297.291599595,48.65
2025/06/09-16:48:17.301755,1749455297.301709053,46.77
2025/06/09-16:48:17.311842,1749455297.311796202,46.78
2025/06/09-16:48:17.321951,1749455297.321903910,48.00
2025/06/09-16:48:17.332058,1749455297.332012695,46.30
2025/06/09-16:48:17.342166,1749455297.342119828,46.21
2025/06/09-16:48:17.352273,1749455297.352227003,46.22
2025/06/09-16:48:17.362381,1749455297.362333381,47.75
2025/06/09-16:48:17.372489,1749455297.372442040,47.73
2025/06/09-16:48:17.382598,1749455297.382550563,47.65
2025/06/09-16:48:17.392705,1749455297.392659269,46.36
2025/06/09-16:48:17.402812,1749455297.402766651,45.75
2025/06/09-16:48:17.412919,1749455297.412873099,46.24
2025/06/09-16:48:17.423025,1749455297.422980226,44.87
2025/06/09-16:48:17.433132,1749455297.433085650,46.89
2025/06/09-16:48:17.443240,1749455297.443192713,47.92
2025/06/09-16:48:17.453351,1749455297.453301321,50.04
2025/06/09-16:48:17.463457,1749455297.463412079,45.23
2025/06/09-16:48:17.473565,1749455297.473518167,47.49
2025/06/09-16:48:17.483672,1749455297.483626198,46.11
2025/06/09-16:48:17.493778,1749455297.493732536,45.95
2025/06/09-16:48:17.503886,1749455297.503839063,47.44
2025/06/09-16:48:17.513993,1749455297.513947027,45.98
2025/06/09-16:48:17.524100,1749455297.524053876,46.81
2025/06/09-16:48:17.534210,1749455297.534161434,49.43
2025/06/09-16:48:17.544319,1749455297.544271362,47.79
2025/06/09-16:48:17.554432,1749455297.554379817,53.07
2025/06/09-16:48:17.564543,1749455297.564493538,49.94
2025/06/09-16:48:17.574650,1749455297.574604140,46.12
2025/06/09-16:48:17.584757,1749455297.584711201,46.28
2025/06/09-16:48:17.594863,1749455297.594817863,45.62
2025/06/09-16:48:17.604971,1749455297.604924107,47.13
2025/06/09-16:48:17.615079,1749455297.615031588,47.42
2025/06/09-16:48:17.625184,1749455297.625139838,45.16
2025/06/09-16:48:17.635291,1749455297.635245401,46.34
2025/06/09-16:48:17.645400,1749455297.645352172,47.94
2025/06/09-16:48:17.655509,1749455297.655461126,47.98
2025/06/09-16:48:17.665618,1749455297.665569917,48.50
2025/06/09-16:48:17.675725,1749455297.675679020,46.24
2025/06/09-16:48:17.685832,1749455297.685785888,46.82
2025/06/09-16:48:17.695941,1749455297.695893111,48.56
2025/06/09-16:48:17.706049,1749455297.706002531,46.51
2025/06/09-16:48:17.716156,1749455297.716110403,46.16
2025/06/09-16:48:17.726271,1749455297.726224394,47.49
2025/06/09-16:48:17.736388,1749455297.736339583,48.80
2025/06/09-16:48:17.746489,1749455297.746450235,39.20
2025/06/09-16:48:17.756598,1749455297.756551011,47.01
2025/06/09-16:48:17.766706,1749455297.766658922,47.55
2025/06/09-16:48:17.776816,1749455297.776768032,48.13
2025/06/09-16:48:17.786921,1749455297.786877290,43.79
2025/06/09-16:48:17.797029,1749455297.796981983,47.38
2025/06/09-16:48:17.807135,1749455297.807089972,45.73
2025/06/09-16:48:17.817242,1749455297.817196478,45.80
2025/06/09-16:48:17.827348,1749455297.827303528,45.41
2025/06/09-16:48:17.837455,1749455297.837409502,46.46
2025/06/09-16:48:17.847563,1749455297.847516718,46.39
2025/06/09-16:48:17.857688,1749455297.857641544,47.16
2025/06/09-16:48:17.867797,1749455297.867750068,47.01
2025/06/09-16:48:17.877904,1749455297.877857370,47.59
2025/06/09-16:48:17.888011,1749455297.887965960,45.77
2025/06/09-16:48:17.898117,1749455297.898071640,46.11
2025/06/09-16:48:17.908224,1749455297.908179112,44.90
2025/06/09-16:48:17.918331,1749455297.918284759,46.49
2025/06/09-16:48:17.928438,1749455297.928391735,46.31
2025/06/09-16:48:17.938547,1749455297.938498666,49.29
2025/06/09-16:48:17.948654,1749455297.948608790,46.07
2025/06/09-16:48:17.958761,1749455297.958715132,46.73
2025/06/09-16:48:17.968869,1749455297.968822806,46.83
2025/06/09-16:48:17.978976,1749455297.978930367,46.38
2025/06/09-16:48:17.989085,1749455297.989038064,47.25
2025/06/09-16:48:17.999193,1749455297.999145664,47.58
2025/06/09-16:48:18.009301,1749455298.009254437,47.17
2025/06/09-16:48:18.019410,1749455298.019362558,47.92
2025/06/09-16:48:18.029516,1749455298.029470874,45.82
2025/06/09-16:48:18.039625,1749455298.039577582,48.32
2025/06/09-16:48:18.049733,1749455298.049686724,46.70
2025/06/09-16:48:18.059842,1749455298.059796111,46.30
2025/06/09-16:48:18.069948,1749455298.069903357,45.10
2025/06/09-16:48:18.080055,1749455298.080009075,45.98
2025/06/09-16:48:18.090160,1749455298.090116177,44.67
2025/06/09-16:48:18.100269,1749455298.100221582,47.82
2025/06/09-16:48:18.110376,1749455298.110330148,46.29
2025/06/09-16:48:18.120483,1749455298.120437150,45.98
2025/06/09-16:48:18.130589,1749455298.130544540,45.31
2025/06/09-16:48:18.140699,1749455298.140650730,48.57
2025/06/09-16:48:18.150805,1749455298.150760042,45.29
2025/06/09-16:48:18.160912,1749455298.160865922,46.19
2025/06/09-16:48:18.171017,1749455298.170972772,44.73
2025/06/09-16:48:18.181125,1749455298.181078602,47.40
2025/06/09-16:48:18.191233,1749455298.191187170,46.04
2025/06/09-16:48:18.201340,1749455298.201293949,47.02
2025/06/09-16:48:18.211448,1749455298.211402229,45.97
2025/06/09-16:48:18.221555,1749455298.221508728,46.80
2025/06/09-16:48:18.231661,1749455298.231616089,45.15
2025/06/09-16:48:18.241768,1749455298.241722121,46.15
2025/06/09-16:48:18.251842,1749455298.251796083,46.15
2025/06/09-16:48:18.261950,1749455298.261903269,47.42
2025/06/09-16:48:18.272059,1749455298.272011863,48.09
