2025/06/09-16:58:11.645873,1749455891.645838520,35.26
2025/06/09-16:58:11.656018,1749455891.655973954,44.08
2025/06/09-16:58:11.666127,1749455891.666081469,46.28
2025/06/09-16:58:11.676235,1749455891.676189566,45.66
2025/06/09-16:58:11.686341,1749455891.686295960,45.97
2025/06/09-16:58:11.696447,1749455891.696403269,43.74
2025/06/09-16:58:11.706551,1749455891.706507909,43.80
2025/06/09-16:58:11.716658,1749455891.716612590,46.30
2025/06/09-16:58:11.726764,1749455891.726719893,44.51
2025/06/09-16:58:11.736868,1749455891.736825452,43.54
2025/06/09-16:58:11.746974,1749455891.746929722,44.72
2025/06/09-16:58:11.757078,1749455891.757035432,43.27
2025/06/09-16:58:11.767183,1749455891.767138727,44.36
2025/06/09-16:58:11.777289,1749455891.777244020,45.03
2025/06/09-16:58:11.787394,1749455891.787349818,44.43
2025/06/09-16:58:11.797501,1749455891.797455169,46.13
2025/06/09-16:58:11.807605,1749455891.807562116,43.52
2025/06/09-16:58:11.817709,1749455891.817666539,42.64
2025/06/09-16:58:11.827814,1749455891.827770352,43.95
2025/06/09-16:58:11.837919,1749455891.837875397,43.64
2025/06/09-16:58:11.848024,1749455891.847979534,44.97
2025/06/09-16:58:11.858129,1749455891.858085439,44.09
2025/06/09-16:58:11.868234,1749455891.868190280,44.21
2025/06/09-16:58:11.878338,1749455891.878294607,44.00
2025/06/09-16:58:11.888446,1749455891.888399600,46.98
2025/06/09-16:58:11.898552,1749455891.898507609,44.91
2025/06/09-16:58:11.908657,1749455891.908613311,44.61
2025/06/09-16:58:11.918763,1749455891.918718525,44.75
2025/06/09-16:58:11.928868,1749455891.928823947,44.95
2025/06/09-16:58:11.938973,1749455891.938930002,43.84
2025/06/09-16:58:11.949077,1749455891.949034359,43.63
2025/06/09-16:58:11.959186,1749455891.959139810,46.32
2025/06/09-16:58:11.969291,1749455891.969246820,44.73
2025/06/09-16:58:11.979394,1749455891.979351646,43.33
2025/06/09-16:58:11.989500,1749455891.989455779,44.26
2025/06/09-16:58:11.999605,1749455891.999560881,44.29
2025/06/09-16:58:12.009710,1749455892.009665720,44.38
2025/06/09-16:58:12.019814,1749455892.019770986,43.73
2025/06/09-16:58:12.029918,1749455892.029874985,43.82
2025/06/09-16:58:12.040024,1749455892.039979676,45.31
2025/06/09-16:58:12.050130,1749455892.050085432,45.06
2025/06/09-16:58:12.060234,1749455892.060191399,43.22
2025/06/09-16:58:12.070338,1749455892.070295214,43.57
2025/06/09-16:58:12.080443,1749455892.080399444,44.30
2025/06/09-16:58:12.090548,1749455892.090504514,44.06
2025/06/09-16:58:12.100651,1749455892.100609330,42.28
2025/06/09-16:58:12.110756,1749455892.110712028,44.18
2025/06/09-16:58:12.120864,1749455892.120816846,47.27
2025/06/09-16:58:12.130968,1749455892.130924413,44.42
2025/06/09-16:58:12.141074,1749455892.141029747,44.38
2025/06/09-16:58:12.151177,1749455892.151134449,43.27
2025/06/09-16:58:12.161281,1749455892.161238201,43.16
2025/06/09-16:58:12.171385,1749455892.171341741,43.67
2025/06/09-16:58:12.181489,1749455892.181446010,43.47
2025/06/09-16:58:12.191594,1749455892.191550417,43.77
2025/06/09-16:58:12.201700,1749455892.201654871,46.09
2025/06/09-16:58:12.211806,1749455892.211761610,44.54
2025/06/09-16:58:12.221909,1749455892.221866531,43.31
2025/06/09-16:58:12.232014,1749455892.231970431,43.92
2025/06/09-16:58:12.242118,1749455892.242075325,43.12
2025/06/09-16:58:12.252223,1749455892.252179288,44.33
2025/06/09-16:58:12.262328,1749455892.262284464,43.57
2025/06/09-16:58:12.272432,1749455892.272388519,44.25
2025/06/09-16:58:12.282538,1749455892.282493347,44.86
2025/06/09-16:58:12.292642,1749455892.292599161,43.73
2025/06/09-16:58:12.302746,1749455892.302703779,42.62
2025/06/09-16:58:12.312851,1749455892.312807497,43.72
2025/06/09-16:58:12.322954,1749455892.322911290,43.54
2025/06/09-16:58:12.333059,1749455892.333015313,44.65
2025/06/09-16:58:12.343165,1749455892.343121721,43.38
