2025/05/30-02:51:04.999996,1748541064.999956016,40.53
2025/05/30-02:51:05.010140,1748541065.010090732,50.22
2025/05/30-02:51:05.020254,1748541065.020203699,50.38
2025/05/30-02:51:05.030365,1748541065.030315245,50.46
2025/05/30-02:51:05.040477,1748541065.040426383,51.38
2025/05/30-02:51:05.050587,1748541065.050538447,49.38
2025/05/30-02:51:05.060702,1748541065.060648175,54.59
2025/05/30-02:51:05.070814,1748541065.070763242,50.94
2025/05/30-02:51:05.080925,1748541065.080874907,50.46
2025/05/30-02:51:05.091036,1748541065.090985835,50.62
2025/05/30-02:51:05.101146,1748541065.101097458,49.15
2025/05/30-02:51:05.111256,1748541065.111207451,49.19
2025/05/30-02:51:05.121369,1748541065.121317229,52.38
2025/05/30-02:51:05.131481,1748541065.131430843,50.44
2025/05/30-02:51:05.141594,1748541065.141542015,52.39
2025/05/30-02:51:05.151704,1748541065.151654481,50.33
2025/05/30-02:51:05.161816,1748541065.161765743,50.82
2025/05/30-02:51:05.171929,1748541065.171877205,52.72
2025/05/30-02:51:05.182041,1748541065.181990494,50.94
2025/05/30-02:51:05.192150,1748541065.192102261,48.56
2025/05/30-02:51:05.202262,1748541065.202211227,51.16
2025/05/30-02:51:05.212373,1748541065.212323024,50.27
2025/05/30-02:51:05.222488,1748541065.222433745,54.96
2025/05/30-02:51:05.232599,1748541065.232549136,50.45
2025/05/30-02:51:05.242710,1748541065.242659618,50.73
2025/05/30-02:51:05.252820,1748541065.252770272,50.42
2025/05/30-02:51:05.262930,1748541065.262880941,49.81
2025/05/30-02:51:05.273041,1748541065.272992104,49.33
2025/05/30-02:51:05.283152,1748541065.283102149,50.51
2025/05/30-02:51:05.293263,1748541065.293213241,49.86
2025/05/30-02:51:05.303376,1748541065.303324026,52.08
2025/05/30-02:51:05.313486,1748541065.313436998,49.29
2025/05/30-02:51:05.323597,1748541065.323546999,50.91
2025/05/30-02:51:05.333709,1748541065.333658948,50.36
2025/05/30-02:51:05.343820,1748541065.343769822,50.80
2025/05/30-02:51:05.353931,1748541065.353880891,50.86
2025/05/30-02:51:05.364047,1748541065.363991704,55.45
2025/05/30-02:51:05.374163,1748541065.374107745,56.07
2025/05/30-02:51:05.384278,1748541065.384224042,54.05
2025/05/30-02:51:05.394389,1748541065.394338656,50.59
2025/05/30-02:51:05.404505,1748541065.404449855,55.59
2025/05/30-02:51:05.414615,1748541065.414565310,50.23
2025/05/30-02:51:05.424728,1748541065.424676280,52.34
2025/05/30-02:51:05.434839,1748541065.434789008,50.42
2025/05/30-02:51:05.444951,1748541065.444900380,50.75
2025/05/30-02:51:05.455062,1748541065.455011575,50.92
2025/05/30-02:51:05.465175,1748541065.465123290,51.78
2025/05/30-02:51:05.475286,1748541065.475235372,50.76
2025/05/30-02:51:05.485396,1748541065.485346624,50.19
2025/05/30-02:51:05.495507,1748541065.495457129,50.31
2025/05/30-02:51:05.505618,1748541065.505567994,50.11
2025/05/30-02:51:05.515727,1748541065.515678058,49.65
2025/05/30-02:51:05.525841,1748541065.525789878,51.50
2025/05/30-02:51:05.535953,1748541065.535903900,49.83
2025/05/30-02:51:05.546066,1748541065.546015306,51.58
2025/05/30-02:51:05.556180,1748541065.556129075,50.97
2025/05/30-02:51:05.566293,1748541065.566241952,51.56
2025/05/30-02:51:05.576405,1748541065.576354676,50.38
2025/05/30-02:51:05.586514,1748541065.586466820,47.45
2025/05/30-02:51:05.596628,1748541065.596577161,51.12
2025/05/30-02:51:05.606741,1748541065.606689657,51.90
2025/05/30-02:51:05.616853,1748541065.616803372,50.51
2025/05/30-02:51:05.626967,1748541065.626915721,52.15
2025/05/30-02:51:05.637079,1748541065.637028759,50.51
2025/05/30-02:51:05.647190,1748541065.647140744,50.15
2025/05/30-02:51:05.657304,1748541065.657253611,50.61
2025/05/30-02:51:05.667416,1748541065.667366369,49.93
2025/05/30-02:51:05.677526,1748541065.677478567,48.41
2025/05/30-02:51:05.687641,1748541065.687589833,51.31
2025/05/30-02:51:05.697754,1748541065.697703517,51.31
2025/05/30-02:51:05.707854,1748541065.707797638,56.69
2025/05/30-02:51:05.717970,1748541065.717916751,54.06
2025/05/30-02:51:05.728083,1748541065.728032471,50.87
2025/05/30-02:51:05.738195,1748541065.738144560,50.52
2025/05/30-02:51:05.748308,1748541065.748257357,50.99
2025/05/30-02:51:05.758420,1748541065.758370656,49.40
2025/05/30-02:51:05.768545,1748541065.768493486,51.77
2025/05/30-02:51:05.778657,1748541065.778607756,50.16
2025/05/30-02:51:05.788772,1748541065.788720276,52.71
2025/05/30-02:51:05.798886,1748541065.798835162,51.09
2025/05/30-02:51:05.808998,1748541065.808948216,50.32
2025/05/30-02:51:05.819110,1748541065.819060400,50.57
2025/05/30-02:51:05.829224,1748541065.829173821,50.61
2025/05/30-02:51:05.839333,1748541065.839286033,47.66
2025/05/30-02:51:05.849447,1748541065.849395199,52.15
2025/05/30-02:51:05.859559,1748541065.859509815,50.04
2025/05/30-02:51:05.869674,1748541065.869621642,52.46
2025/05/30-02:51:05.879786,1748541065.879735920,50.35
2025/05/30-02:51:05.889903,1748541065.889852899,50.50
2025/05/30-02:51:05.900016,1748541065.899965266,51.21
2025/05/30-02:51:05.910128,1748541065.910077925,50.59
2025/05/30-02:51:05.920241,1748541065.920190802,50.42
2025/05/30-02:51:05.930354,1748541065.930303420,50.88
2025/05/30-02:51:05.940465,1748541065.940414928,50.16
2025/05/30-02:51:05.950578,1748541065.950527005,51.94
2025/05/30-02:51:05.960693,1748541065.960641461,51.68
2025/05/30-02:51:05.970804,1748541065.970754584,50.34
2025/05/30-02:51:05.980918,1748541065.980866570,51.48
2025/05/30-02:51:05.991030,1748541065.990980396,50.29
2025/05/30-02:51:06.001142,1748541066.001091954,50.56
2025/05/30-02:51:06.011255,1748541066.011204450,51.38
2025/05/30-02:51:06.021372,1748541066.021322817,49.96
2025/05/30-02:51:06.031490,1748541066.031437865,52.49
2025/05/30-02:51:06.041603,1748541066.041552836,50.61
2025/05/30-02:51:06.051717,1748541066.051667194,50.46
2025/05/30-02:51:06.061833,1748541066.061780220,53.24
2025/05/30-02:51:06.071950,1748541066.071896131,54.72
2025/05/30-02:51:06.082064,1748541066.082013897,50.84
2025/05/30-02:51:06.092178,1748541066.092127681,50.53
2025/05/30-02:51:06.102291,1748541066.102240953,50.80
2025/05/30-02:51:06.112408,1748541066.112356198,52.51
2025/05/30-02:51:06.122523,1748541066.122472947,50.11
2025/05/30-02:51:06.132636,1748541066.132585334,50.74
2025/05/30-02:51:06.142748,1748541066.142698001,50.72
2025/05/30-02:51:06.152861,1748541066.152811623,50.35
2025/05/30-02:51:06.162979,1748541066.162925492,54.33
2025/05/30-02:51:06.173092,1748541066.173041716,50.60
2025/05/30-02:51:06.183206,1748541066.183154381,51.66
2025/05/30-02:51:06.193320,1748541066.193268688,51.71
2025/05/30-02:51:06.203433,1748541066.203382805,50.72
2025/05/30-02:51:06.213546,1748541066.213494826,51.22
2025/05/30-02:51:06.223660,1748541066.223609320,50.79
2025/05/30-02:51:06.233775,1748541066.233721505,54.07
2025/05/30-02:51:06.243849,1748541066.243799720,49.57
2025/05/30-02:51:06.253963,1748541066.253912524,51.25
2025/05/30-02:51:06.264075,1748541066.264025143,50.50
2025/05/30-02:51:06.274188,1748541066.274136641,51.86
