2025/05/30-02:56:32.981370,1748541392.981326562,44.27
2025/05/30-02:56:32.991513,1748541392.991460759,52.39
2025/05/30-02:56:33.001630,1748541393.001575394,55.03
2025/05/30-02:56:33.011743,1748541393.011692094,51.83
2025/05/30-02:56:33.021857,1748541393.021805046,52.39
2025/05/30-02:56:33.031968,1748541393.031918302,50.38
2025/05/30-02:56:33.042079,1748541393.042029411,50.01
2025/05/30-02:56:33.052191,1748541393.052140552,50.53
2025/05/30-02:56:33.062303,1748541393.062251694,51.56
2025/05/30-02:56:33.072414,1748541393.072364113,50.71
2025/05/30-02:56:33.082532,1748541393.082479099,53.87
2025/05/30-02:56:33.092650,1748541393.092597036,53.36
2025/05/30-02:56:33.102762,1748541393.102711259,51.34
2025/05/30-02:56:33.112874,1748541393.112823227,51.08
2025/05/30-02:56:33.122986,1748541393.122934556,52.03
2025/05/30-02:56:33.133098,1748541393.133047387,50.72
2025/05/30-02:56:33.143202,1748541393.143158762,43.65
2025/05/30-02:56:33.153314,1748541393.153263680,51.02
2025/05/30-02:56:33.163427,1748541393.163375133,51.90
2025/05/30-02:56:33.173536,1748541393.173487717,49.02
2025/05/30-02:56:33.183648,1748541393.183596420,52.15
2025/05/30-02:56:33.193760,1748541393.193709696,50.43
2025/05/30-02:56:33.203871,1748541393.203820999,50.94
2025/05/30-02:56:33.213984,1748541393.213932596,51.90
2025/05/30-02:56:33.224097,1748541393.224045122,51.92
2025/05/30-02:56:33.234206,1748541393.234156600,50.28
2025/05/30-02:56:33.244322,1748541393.244268446,53.75
2025/05/30-02:56:33.254435,1748541393.254382808,52.22
2025/05/30-02:56:33.264546,1748541393.264494876,51.47
2025/05/30-02:56:33.274657,1748541393.274606898,50.12
2025/05/30-02:56:33.284770,1748541393.284717880,52.63
2025/05/30-02:56:33.294881,1748541393.294830588,51.07
2025/05/30-02:56:33.304993,1748541393.304942629,51.35
2025/05/30-02:56:33.315106,1748541393.315054525,51.87
2025/05/30-02:56:33.325219,1748541393.325166610,53.37
2025/05/30-02:56:33.335331,1748541393.335279923,51.12
2025/05/30-02:56:33.345441,1748541393.345391827,49.89
2025/05/30-02:56:33.355552,1748541393.355501998,50.75
2025/05/30-02:56:33.365665,1748541393.365613425,51.97
2025/05/30-02:56:33.375776,1748541393.375725976,50.18
2025/05/30-02:56:33.385888,1748541393.385836658,52.18
2025/05/30-02:56:33.396002,1748541393.395949275,52.92
2025/05/30-02:56:33.406115,1748541393.406062898,52.25
2025/05/30-02:56:33.416227,1748541393.416175933,51.92
2025/05/30-02:56:33.426339,1748541393.426288895,50.79
2025/05/30-02:56:33.436451,1748541393.436400563,50.55
2025/05/30-02:56:33.446563,1748541393.446511742,51.64
2025/05/30-02:56:33.456673,1748541393.456623408,50.33
2025/05/30-02:56:33.466784,1748541393.466734126,50.72
2025/05/30-02:56:33.476896,1748541393.476845145,51.39
2025/05/30-02:56:33.487009,1748541393.486956654,53.25
2025/05/30-02:56:33.497119,1748541393.497070830,48.34
2025/05/30-02:56:33.507230,1748541393.507179765,51.21
2025/05/30-02:56:33.517344,1748541393.517291188,52.83
2025/05/30-02:56:33.527456,1748541393.527404451,52.02
2025/05/30-02:56:33.537570,1748541393.537517161,53.45
2025/05/30-02:56:33.547682,1748541393.547630953,51.97
2025/05/30-02:56:33.557792,1748541393.557743708,49.00
2025/05/30-02:56:33.567906,1748541393.567853519,53.02
2025/05/30-02:56:33.578016,1748541393.577967321,48.91
2025/05/30-02:56:33.588129,1748541393.588076852,52.16
2025/05/30-02:56:33.598239,1748541393.598189293,50.51
2025/05/30-02:56:33.608350,1748541393.608300619,49.42
2025/05/30-02:56:33.618462,1748541393.618410226,52.73
2025/05/30-02:56:33.628578,1748541393.628526237,52.36
2025/05/30-02:56:33.638692,1748541393.638642622,49.50
2025/05/30-02:56:33.648806,1748541393.648753070,53.45
2025/05/30-02:56:33.658918,1748541393.658867532,50.80
2025/05/30-02:56:33.669030,1748541393.668978868,51.73
2025/05/30-02:56:33.679140,1748541393.679090545,49.82
2025/05/30-02:56:33.689252,1748541393.689201314,51.38
2025/05/30-02:56:33.699363,1748541393.699313376,49.63
