2025/06/09-01:38:19.210432,1749400699.210372803,59.41
2025/06/09-01:38:20.210611,1749400700.210540916,70.36
2025/06/09-01:38:21.210754,1749400701.210689568,64.86
2025/06/09-01:38:22.210897,1749400702.210827584,70.00
2025/06/09-01:38:23.211044,1749400703.210978398,65.93
2025/06/09-01:38:24.211189,1749400704.211116095,73.55
2025/06/09-01:38:25.211331,1749400705.211262474,69.04
2025/06/09-01:38:26.211468,1749400706.211401865,66.65
2025/06/09-01:38:27.211608,1749400707.211544828,63.66
2025/06/09-01:38:28.211747,1749400708.211680748,67.03
2025/06/09-01:38:29.211896,1749400709.211827611,68.75
2025/06/09-01:38:30.212041,1749400710.211975522,65.74
2025/06/09-01:38:31.212178,1749400711.212112636,65.71
2025/06/09-01:38:32.212317,1749400712.212250336,66.89
2025/06/09-01:38:33.212458,1749400713.212390505,67.99
2025/06/09-01:38:34.212606,1749400714.212535826,70.95
2025/06/09-01:38:35.212753,1749400715.212687834,65.78
2025/06/09-01:38:36.212898,1749400716.212833242,64.84
2025/06/09-01:38:37.213050,1749400717.212979688,70.80
2025/06/09-01:38:38.213194,1749400718.213126723,67.84
2025/06/09-01:38:39.213340,1749400719.213274160,66.68
2025/06/09-01:38:40.213493,1749400720.213427320,66.39
2025/06/09-01:38:41.213641,1749400721.213573786,67.31
2025/06/09-01:38:42.213778,1749400722.213712328,66.01
2025/06/09-01:38:43.213928,1749400723.213859807,69.01
2025/06/09-01:38:44.214074,1749400724.214008502,65.52
2025/06/09-01:38:45.214215,1749400725.214148228,67.03
2025/06/09-01:38:46.214354,1749400726.214289893,64.97
2025/06/09-01:38:47.214500,1749400727.214434886,65.66
2025/06/09-01:38:48.214642,1749400728.214574187,67.83
2025/06/09-01:38:49.214781,1749400729.214712593,69.04
2025/06/09-01:38:50.214921,1749400730.214857331,64.54
2025/06/09-01:38:51.215058,1749400731.214992072,66.13
2025/06/09-01:38:52.215203,1749400732.215130797,72.64
2025/06/09-01:38:53.215348,1749400733.215282243,65.88
2025/06/09-01:38:54.215500,1749400734.215422309,77.77
2025/06/09-01:38:55.215640,1749400735.215572457,67.58
2025/06/09-01:38:56.215788,1749400736.215717356,71.56
2025/06/09-01:38:57.215937,1749400737.215871200,66.70
2025/06/09-01:38:58.216075,1749400738.216009124,66.54
2025/06/09-01:38:59.216223,1749400739.216153621,70.22
2025/06/09-01:39:00.216376,1749400740.216305582,70.58
2025/06/09-01:39:01.216515,1749400741.216447735,67.39
2025/06/09-01:39:02.216653,1749400742.216586921,66.13
2025/06/09-01:39:03.216793,1749400743.216729038,64.52
2025/06/09-01:39:04.216944,1749400744.216874167,70.11
2025/06/09-01:39:05.217081,1749400745.217015744,65.74
2025/06/09-01:39:06.217214,1749400746.217151380,63.43
2025/06/09-01:39:07.217367,1749400747.217294077,73.34
2025/06/09-01:39:08.217504,1749400748.217439820,65.02
2025/06/09-01:39:09.217648,1749400749.217577047,71.94
2025/06/09-01:39:10.217790,1749400750.217724407,66.15
2025/06/09-01:39:11.217928,1749400751.217863082,65.55
2025/06/09-01:39:12.218068,1749400752.217999523,68.68
2025/06/09-01:39:13.218207,1749400753.218142771,65.22
2025/06/09-01:39:14.218355,1749400754.218282729,72.85
2025/06/09-01:39:15.218497,1749400755.218430128,67.03
2025/06/09-01:39:16.218635,1749400756.218571083,64.58
2025/06/09-01:39:17.218789,1749400757.218716058,73.01
2025/06/09-01:39:18.218932,1749400758.218863368,69.22
