2025/06/11-17:02:03.301177,1749628923.301126345,51.48
2025/06/11-17:02:03.401337,1749628923.401277179,60.17
2025/06/11-17:02:03.501454,1749628923.501402055,52.26
2025/06/11-17:02:03.601571,1749628923.601518110,53.64
2025/06/11-17:02:03.701691,1749628923.701634555,57.10
2025/06/11-17:02:03.801807,1749628923.801754283,53.64
2025/06/11-17:02:03.901920,1749628923.901870596,50.30
2025/06/11-17:02:04.002037,1749628924.001984093,53.52
2025/06/11-17:02:04.102155,1749628924.102100753,54.39
2025/06/11-17:02:04.202280,1749628924.202222178,58.27
2025/06/11-17:02:04.302403,1749628924.302345296,58.23
2025/06/11-17:02:04.402526,1749628924.402471507,55.30
2025/06/11-17:02:04.502653,1749628924.502595441,58.36
2025/06/11-17:02:04.602776,1749628924.602721346,55.65
2025/06/11-17:02:04.702898,1749628924.702842986,55.20
2025/06/11-17:02:04.803020,1749628924.802963574,56.51
2025/06/11-17:02:04.903138,1749628924.903084547,53.62
2025/06/11-17:02:05.003259,1749628925.003203322,55.78
2025/06/11-17:02:05.103377,1749628925.103324206,53.45
2025/06/11-17:02:05.203496,1749628925.203443109,53.14
2025/06/11-17:02:05.303618,1749628925.303562237,56.00
2025/06/11-17:02:05.403741,1749628925.403685698,55.92
2025/06/11-17:02:05.503853,1749628925.503800586,53.26
2025/06/11-17:02:05.603974,1749628925.603919227,55.02
2025/06/11-17:02:05.704097,1749628925.704039888,57.26
2025/06/11-17:02:05.804216,1749628925.804161521,54.73
2025/06/11-17:02:05.904339,1749628925.904281345,57.92
2025/06/11-17:02:06.004463,1749628926.004406494,56.57
2025/06/11-17:02:06.104588,1749628926.104530311,58.29
2025/06/11-17:02:06.204713,1749628926.204656115,57.67
2025/06/11-17:02:06.304839,1749628926.304780336,59.05
2025/06/11-17:02:06.404962,1749628926.404906461,56.02
2025/06/11-17:02:06.505085,1749628926.505030509,55.42
2025/06/11-17:02:06.605206,1749628926.605151719,54.71
2025/06/11-17:02:06.705326,1749628926.705271553,55.06
2025/06/11-17:02:06.805446,1749628926.805391825,54.44
2025/06/11-17:02:06.905563,1749628926.905510537,52.98
2025/06/11-17:02:07.005680,1749628927.005627977,52.49
2025/06/11-17:02:07.105799,1749628927.105744899,54.92
2025/06/11-17:02:07.205922,1749628927.205865202,56.91
2025/06/11-17:02:07.306046,1749628927.305987753,58.84
2025/06/11-17:02:07.406167,1749628927.406112839,54.60
2025/06/11-17:02:07.506289,1749628927.506235650,53.87
2025/06/11-17:02:07.606412,1749628927.606356628,56.14
2025/06/11-17:02:07.706535,1749628927.706479285,56.51
2025/06/11-17:02:07.806653,1749628927.806601357,52.37
2025/06/11-17:02:07.906770,1749628927.906718084,52.35
2025/06/11-17:02:08.006890,1749628928.006836500,54.09
2025/06/11-17:02:08.107011,1749628928.106957288,53.86
2025/06/11-17:02:08.207130,1749628928.207077336,53.29
2025/06/11-17:02:08.307255,1749628928.307196825,58.40
2025/06/11-17:02:08.407383,1749628928.407322450,60.85
2025/06/11-17:02:08.507508,1749628928.507450020,58.45
2025/06/11-17:02:08.607630,1749628928.607574170,56.37
2025/06/11-17:02:08.707742,1749628928.707695260,46.92
2025/06/11-17:02:08.807862,1749628928.807799767,62.51
2025/06/11-17:02:08.907986,1749628928.907927488,59.19
2025/06/11-17:02:09.008098,1749628929.008052859,45.87
2025/06/11-17:02:09.108220,1749628929.108165403,55.18
2025/06/11-17:02:09.208343,1749628929.208286066,57.37
2025/06/11-17:02:09.308465,1749628929.308407913,57.64
2025/06/11-17:02:09.408588,1749628929.408532018,56.10
2025/06/11-17:02:09.508708,1749628929.508655051,53.18
2025/06/11-17:02:09.608830,1749628929.608773361,57.44
2025/06/11-17:02:09.708950,1749628929.708895272,54.89
2025/06/11-17:02:09.809070,1749628929.809014963,55.56
2025/06/11-17:02:09.909187,1749628929.909135260,52.15
2025/06/11-17:02:10.009306,1749628930.009252411,53.63
2025/06/11-17:02:10.109425,1749628930.109371578,54.26
