2025/05/29-22:34:19.317782,1748525659.317736237,46.28
2025/05/29-22:34:20.317944,1748525660.317888315,56.41
2025/05/29-22:34:21.318074,1748525661.318017925,56.32
2025/05/29-22:34:22.318198,1748525662.318144278,54.34
2025/05/29-22:34:23.318346,1748525663.318276148,69.93
2025/05/29-22:34:24.318497,1748525664.318420072,77.46
2025/05/29-22:34:25.318648,1748525665.318570626,77.53
2025/05/29-22:34:26.318799,1748525666.318719303,80.06
2025/05/29-22:34:27.318958,1748525667.318871303,86.78
2025/05/29-22:34:28.319113,1748525668.319033932,79.61
2025/05/29-22:34:29.319269,1748525669.319189044,80.39
2025/05/29-22:34:30.319429,1748525670.319346968,82.46
2025/05/29-22:34:31.319592,1748525671.319501012,91.16
2025/05/29-22:34:32.319747,1748525672.319666023,81.77
2025/05/29-22:34:33.319885,1748525673.319803143,82.45
2025/05/29-22:34:34.320046,1748525674.319957216,88.95
2025/05/29-22:34:35.320205,1748525675.320123130,82.45
2025/05/29-22:34:36.320361,1748525676.320277893,83.12
2025/05/29-22:34:37.320514,1748525677.320434869,79.16
2025/05/29-22:34:38.320667,1748525678.320587162,80.61
2025/05/29-22:34:39.320821,1748525679.320745209,76.53
2025/05/29-22:34:40.320968,1748525680.320893417,74.75
2025/05/29-22:34:41.321116,1748525681.321039479,77.43
2025/05/29-22:34:42.321261,1748525682.321184355,76.64
2025/05/29-22:34:43.321412,1748525683.321336640,75.50
2025/05/29-22:34:44.321565,1748525684.321486983,78.19
2025/05/29-22:34:45.321709,1748525685.321634004,75.11
2025/05/29-22:34:46.321850,1748525686.321774861,75.87
2025/05/29-22:34:47.322009,1748525687.321917771,92.11
2025/05/29-22:34:48.322154,1748525688.322076724,77.61
2025/05/29-22:34:49.322299,1748525689.322222379,77.43
2025/05/29-22:34:50.322451,1748525690.322371807,79.52
2025/05/29-22:34:51.322595,1748525691.322517421,78.27
2025/05/29-22:34:52.322745,1748525692.322662368,82.73
2025/05/29-22:34:53.322895,1748525693.322815262,80.00
2025/05/29-22:34:54.323041,1748525694.322963336,77.90
2025/05/29-22:34:55.323196,1748525695.323115814,80.53
2025/05/29-22:34:56.323340,1748525696.323262954,77.25
2025/05/29-22:34:57.323499,1748525697.323410630,88.89
2025/05/29-22:34:58.323656,1748525698.323567272,89.03
2025/05/29-22:34:59.323818,1748525699.323732091,86.43
2025/05/29-22:35:00.323990,1748525700.323892187,97.98
2025/05/29-22:35:01.324140,1748525701.324060590,79.80
2025/05/29-22:35:02.324302,1748525702.324207531,95.32
2025/05/29-22:35:03.324467,1748525703.324372367,95.43
2025/05/29-22:35:04.324625,1748525704.324542901,82.35
2025/05/29-22:35:05.324785,1748525705.324693790,91.61
2025/05/29-22:35:06.324933,1748525706.324852375,80.73
2025/05/29-22:35:07.325111,1748525707.325008442,103.40
2025/05/29-22:35:08.325284,1748525708.325186381,98.48
2025/05/29-22:35:09.325464,1748525709.325356504,107.62
2025/05/29-22:35:10.325645,1748525710.325535690,109.78
2025/05/29-22:35:11.325832,1748525711.325713487,118.86
2025/05/29-22:35:12.325991,1748525712.325900191,90.93
2025/05/29-22:35:13.326169,1748525713.326063068,106.46
2025/05/29-22:35:14.326327,1748525714.326238003,89.51
2025/05/29-22:35:15.326495,1748525715.326401356,93.78
2025/05/29-22:35:16.326657,1748525716.326562076,95.73
2025/05/29-22:35:17.326842,1748525717.326727411,115.07
2025/05/29-22:35:18.327016,1748525718.326911641,104.74
2025/05/29-22:35:19.327211,1748525719.327086110,125.61
2025/05/29-22:35:20.327400,1748525720.327293200,106.91
2025/05/29-22:35:21.327575,1748525721.327468355,107.18
2025/05/29-22:35:22.327749,1748525722.327644173,105.58
2025/05/29-22:35:23.327936,1748525723.327826866,110.04
2025/05/29-22:35:24.328100,1748525724.328011455,89.01
2025/05/29-22:35:25.328273,1748525725.328167487,105.94
2025/05/29-22:35:26.328438,1748525726.328340841,97.53
2025/05/29-22:35:27.328618,1748525727.328513218,104.97
2025/05/29-22:35:28.328786,1748525728.328688266,97.92
2025/05/29-22:35:29.328950,1748525729.328856194,93.86
2025/05/29-22:35:30.329141,1748525730.329019385,121.74
2025/05/29-22:35:31.329316,1748525731.329208782,107.84
2025/05/29-22:35:32.329481,1748525732.329385961,95.81
2025/05/29-22:35:33.329669,1748525733.329551799,117.28
2025/05/29-22:35:34.329859,1748525734.329735263,124.27
2025/05/29-22:35:35.330064,1748525735.329945264,119.36
2025/05/29-22:35:36.330255,1748525736.330133066,121.95
2025/05/29-22:35:37.330439,1748525737.330322624,117.26
2025/05/29-22:35:38.330619,1748525738.330510613,108.41
2025/05/29-22:35:39.330810,1748525739.330695342,114.92
2025/05/29-22:35:40.331005,1748525740.330881769,123.49
2025/05/29-22:35:41.331194,1748525741.331074521,119.52
2025/05/29-22:35:42.331384,1748525742.331263011,121.60
2025/05/29-22:35:43.331592,1748525743.331462371,130.52
2025/05/29-22:35:44.331793,1748525744.331668355,125.58
2025/05/29-22:35:45.331991,1748525745.331864126,127.70
2025/05/29-22:35:46.332191,1748525746.332059322,132.61
2025/05/29-22:35:47.332384,1748525747.332260642,123.68
2025/05/29-22:35:48.332573,1748525748.332452693,121.14
2025/05/29-22:35:49.332795,1748525749.332643936,151.41
2025/05/29-22:35:50.332978,1748525750.332866723,111.33
2025/05/29-22:35:51.333178,1748525751.333045152,133.30
2025/05/29-22:35:52.333375,1748525752.333249360,126.48
2025/05/29-22:35:53.333578,1748525753.333444802,133.21
2025/05/29-22:35:54.333734,1748525754.333644921,89.11
2025/05/29-22:35:55.333925,1748525755.333807118,118.39
2025/05/29-22:35:56.334101,1748525756.333992313,108.81
2025/05/29-22:35:57.334311,1748525757.334169634,141.57
2025/05/29-22:35:58.334506,1748525758.334379125,127.59
2025/05/29-22:35:59.334691,1748525759.334574110,117.81
2025/05/29-22:36:00.334899,1748525760.334763016,136.69
2025/05/29-22:36:01.335082,1748525761.334970221,112.03
2025/05/29-22:36:02.335296,1748525762.335153574,142.90
2025/05/29-22:36:03.335486,1748525763.335374398,111.84
2025/05/29-22:36:04.335695,1748525764.335557861,137.27
2025/05/29-22:36:05.335879,1748525765.335767647,112.11
2025/05/29-22:36:06.336091,1748525766.335951398,139.87
2025/05/29-22:36:07.336292,1748525767.336166415,125.78
2025/05/29-22:36:08.336509,1748525768.336368271,141.08
2025/05/29-22:36:09.336707,1748525769.336583227,123.87
2025/05/29-22:36:10.336912,1748525770.336781071,131.72
2025/05/29-22:36:11.337105,1748525771.336981875,123.77
2025/05/29-22:36:12.337294,1748525772.337175389,118.66
2025/05/29-22:36:13.337492,1748525773.337364130,128.55
2025/05/29-22:36:14.337698,1748525774.337560383,138.33
2025/05/29-22:36:15.337906,1748525775.337766205,140.56
2025/05/29-22:36:16.338103,1748525776.337976468,127.39
2025/05/29-22:36:17.338314,1748525777.338173759,140.69
2025/05/29-22:36:18.338512,1748525778.338384881,127.82
