2025/05/30-03:03:02.545321,1748541782.545278875,42.38
2025/05/30-03:03:02.555460,1748541782.555410418,50.46
2025/05/30-03:03:02.565578,1748541782.565525227,53.42
2025/05/30-03:03:02.575691,1748541782.575640686,51.09
2025/05/30-03:03:02.585805,1748541782.585753878,51.27
2025/05/30-03:03:02.595918,1748541782.595866788,51.32
2025/05/30-03:03:02.606030,1748541782.605979700,50.62
2025/05/30-03:03:02.616142,1748541782.616091599,50.57
2025/05/30-03:03:02.626255,1748541782.626203418,51.71
2025/05/30-03:03:02.636366,1748541782.636316695,50.23
2025/05/30-03:03:02.646478,1748541782.646427902,50.50
2025/05/30-03:03:02.656590,1748541782.656540390,50.34
2025/05/30-03:03:02.666703,1748541782.666651528,51.83
2025/05/30-03:03:02.676817,1748541782.676764610,52.44
2025/05/30-03:03:02.686929,1748541782.686878727,50.96
2025/05/30-03:03:02.697042,1748541782.696991475,50.64
2025/05/30-03:03:02.707154,1748541782.707103833,50.22
2025/05/30-03:03:02.717265,1748541782.717215597,49.67
2025/05/30-03:03:02.727377,1748541782.727326343,51.40
2025/05/30-03:03:02.737489,1748541782.737439535,50.28
2025/05/30-03:03:02.747601,1748541782.747550709,50.83
2025/05/30-03:03:02.757714,1748541782.757663223,50.97
2025/05/30-03:03:02.767826,1748541782.767775007,51.00
2025/05/30-03:03:02.777940,1748541782.777887939,52.37
2025/05/30-03:03:02.788052,1748541782.788001605,50.64
2025/05/30-03:03:02.798165,1748541782.798113896,51.56
2025/05/30-03:03:02.808276,1748541782.808226207,49.90
2025/05/30-03:03:02.818387,1748541782.818337129,50.51
2025/05/30-03:03:02.828501,1748541782.828449042,52.84
2025/05/30-03:03:02.838614,1748541782.838563522,50.96
2025/05/30-03:03:02.848725,1748541782.848675794,49.93
2025/05/30-03:03:02.858839,1748541782.858787636,51.64
2025/05/30-03:03:02.868951,1748541782.868900791,50.26
2025/05/30-03:03:02.879063,1748541782.879012686,50.87
2025/05/30-03:03:02.889176,1748541782.889125249,51.24
2025/05/30-03:03:02.899288,1748541782.899238970,49.61
2025/05/30-03:03:02.909400,1748541782.909349941,50.77
2025/05/30-03:03:02.919513,1748541782.919462064,51.37
2025/05/30-03:03:02.929628,1748541782.929575459,52.60
2025/05/30-03:03:02.939739,1748541782.939689540,50.00
2025/05/30-03:03:02.949857,1748541782.949800627,57.06
2025/05/30-03:03:02.959974,1748541782.959919611,54.98
2025/05/30-03:03:02.970087,1748541782.970036324,51.60
2025/05/30-03:03:02.980200,1748541782.980149558,51.32
2025/05/30-03:03:02.990314,1748541782.990262213,51.80
2025/05/30-03:03:03.000428,1748541783.000375610,52.88
2025/05/30-03:03:03.010540,1748541783.010489809,50.34
2025/05/30-03:03:03.020652,1748541783.020601477,50.85
2025/05/30-03:03:03.030769,1748541783.030713495,55.61
2025/05/30-03:03:03.040880,1748541783.040830841,49.58
2025/05/30-03:03:03.050992,1748541783.050942285,50.03
2025/05/30-03:03:03.061104,1748541783.061053936,50.84
2025/05/30-03:03:03.071217,1748541783.071166271,51.27
2025/05/30-03:03:03.081330,1748541783.081279285,51.51
2025/05/30-03:03:03.091451,1748541783.091396042,55.22
2025/05/30-03:03:03.101566,1748541783.101515853,50.49
2025/05/30-03:03:03.111684,1748541783.111631654,52.94
2025/05/30-03:03:03.121799,1748541783.121749014,50.79
2025/05/30-03:03:03.131917,1748541783.131861807,55.38
2025/05/30-03:03:03.142028,1748541783.141978338,50.05
2025/05/30-03:03:03.152140,1748541783.152089741,50.47
2025/05/30-03:03:03.162258,1748541783.162202101,55.95
2025/05/30-03:03:03.172372,1748541783.172319657,52.43
2025/05/30-03:03:03.182485,1748541783.182433892,51.84
2025/05/30-03:03:03.192597,1748541783.192546952,50.98
2025/05/30-03:03:03.202708,1748541783.202659958,48.58
2025/05/30-03:03:03.212820,1748541783.212769883,50.20
2025/05/30-03:03:03.222938,1748541783.222881886,56.47
2025/05/30-03:03:03.233051,1748541783.233000357,51.43
2025/05/30-03:03:03.243166,1748541783.243113511,52.59
2025/05/30-03:03:03.253283,1748541783.253227561,55.71
2025/05/30-03:03:03.263395,1748541783.263344941,50.25
2025/05/30-03:03:03.273507,1748541783.273456466,51.43
2025/05/30-03:03:03.283619,1748541783.283569959,49.17
2025/05/30-03:03:03.293735,1748541783.293681184,54.09
2025/05/30-03:03:03.303845,1748541783.303796637,49.35
