2025/05/30-02:40:40.850103,1748540440.850054467,49.51
2025/05/30-02:40:40.860246,1748540440.860191856,55.01
2025/05/30-02:40:40.870365,1748540440.870309407,55.60
2025/05/30-02:40:40.880485,1748540440.880425616,59.62
2025/05/30-02:40:40.890601,1748540440.890546085,55.35
2025/05/30-02:40:40.900716,1748540440.900661731,54.40
2025/05/30-02:40:40.910835,1748540440.910777325,57.79
2025/05/30-02:40:40.920950,1748540440.920895571,55.41
2025/05/30-02:40:40.931066,1748540440.931011688,54.73
2025/05/30-02:40:40.941180,1748540440.941127040,53.58
2025/05/30-02:40:40.951294,1748540440.951241032,53.84
2025/05/30-02:40:40.961410,1748540440.961355629,54.64
2025/05/30-02:40:40.971528,1748540440.971470753,57.44
2025/05/30-02:40:40.981637,1748540440.981588601,48.89
2025/05/30-02:40:40.991753,1748540440.991697847,56.09
2025/05/30-02:40:41.001864,1748540441.001814249,50.23
2025/05/30-02:40:41.011981,1748540441.011925288,56.04
2025/05/30-02:40:41.022092,1748540441.022042359,49.64
2025/05/30-02:40:41.032203,1748540441.032152302,51.51
2025/05/30-02:40:41.042316,1748540441.042264370,51.80
2025/05/30-02:40:41.052427,1748540441.052376480,51.08
2025/05/30-02:40:41.062537,1748540441.062488388,49.06
2025/05/30-02:40:41.072649,1748540441.072598042,51.10
2025/05/30-02:40:41.082759,1748540441.082709440,50.51
2025/05/30-02:40:41.092871,1748540441.092820527,50.48
2025/05/30-02:40:41.102980,1748540441.102931279,49.35
2025/05/30-02:40:41.113095,1748540441.113041509,54.45
2025/05/30-02:40:41.123199,1748540441.123156783,42.62
2025/05/30-02:40:41.133310,1748540441.133259836,51.03
2025/05/30-02:40:41.143420,1748540441.143371319,49.35
2025/05/30-02:40:41.153532,1748540441.153481013,51.90
2025/05/30-02:40:41.163644,1748540441.163594163,50.19
2025/05/30-02:40:41.173756,1748540441.173704562,51.99
2025/05/30-02:40:41.183867,1748540441.183817199,49.99
2025/05/30-02:40:41.193978,1748540441.193927802,50.27
2025/05/30-02:40:41.204089,1748540441.204038168,51.18
2025/05/30-02:40:41.214201,1748540441.214149788,51.52
2025/05/30-02:40:41.224311,1748540441.224261692,49.64
2025/05/30-02:40:41.234422,1748540441.234371593,50.72
2025/05/30-02:40:41.244533,1748540441.244482746,50.99
2025/05/30-02:40:41.254645,1748540441.254593872,51.58
2025/05/30-02:40:41.264757,1748540441.264706471,50.68
2025/05/30-02:40:41.274868,1748540441.274817421,50.80
2025/05/30-02:40:41.284980,1748540441.284928782,52.09
2025/05/30-02:40:41.295092,1748540441.295041471,50.78
2025/05/30-02:40:41.305201,1748540441.305152586,49.37
2025/05/30-02:40:41.315319,1748540441.315263783,56.06
2025/05/30-02:40:41.325429,1748540441.325380618,49.23
2025/05/30-02:40:41.335541,1748540441.335490001,51.67
2025/05/30-02:40:41.345652,1748540441.345601870,50.48
2025/05/30-02:40:41.355762,1748540441.355712549,49.88
2025/05/30-02:40:41.365874,1748540441.365822622,51.83
2025/05/30-02:40:41.375989,1748540441.375934566,54.75
2025/05/30-02:40:41.386099,1748540441.386049759,50.01
2025/05/30-02:40:41.396210,1748540441.396160053,50.85
2025/05/30-02:40:41.406323,1748540441.406271522,51.68
2025/05/30-02:40:41.416433,1748540441.416383882,50.10
2025/05/30-02:40:41.426544,1748540441.426494110,50.61
2025/05/30-02:40:41.436655,1748540441.436605246,50.30
2025/05/30-02:40:41.446767,1748540441.446716551,50.90
2025/05/30-02:40:41.456878,1748540441.456827711,51.13
2025/05/30-02:40:41.466988,1748540441.466939012,49.13
2025/05/30-02:40:41.477099,1748540441.477048897,50.57
2025/05/30-02:40:41.487210,1748540441.487160398,49.98
2025/05/30-02:40:41.497321,1748540441.497271012,50.76
2025/05/30-02:40:41.507432,1748540441.507382171,50.20
2025/05/30-02:40:41.517542,1748540441.517492657,50.34
2025/05/30-02:40:41.527654,1748540441.527603153,51.67
2025/05/30-02:40:41.537766,1748540441.537715648,51.26
2025/05/30-02:40:41.547876,1748540441.547827099,49.62
2025/05/30-02:40:41.557987,1748540441.557937452,50.21
2025/05/30-02:40:41.568098,1748540441.568048475,49.92
2025/05/30-02:40:41.578209,1748540441.578158374,51.09
2025/05/30-02:40:41.588319,1748540441.588270405,49.48
2025/05/30-02:40:41.598431,1748540441.598380508,50.95
2025/05/30-02:40:41.608543,1748540441.608492338,50.70
2025/05/30-02:40:41.618668,1748540441.618616497,51.65
2025/05/30-02:40:41.628777,1748540441.628729073,48.41
2025/05/30-02:40:41.638888,1748540441.638837890,50.13
2025/05/30-02:40:41.648999,1748540441.648949081,50.79
2025/05/30-02:40:41.659110,1748540441.659060323,50.04
2025/05/30-02:40:41.669219,1748540441.669170835,48.85
2025/05/30-02:40:41.679330,1748540441.679279944,50.36
2025/05/30-02:40:41.689442,1748540441.689390907,51.31
2025/05/30-02:40:41.699555,1748540441.699502902,52.35
2025/05/30-02:40:41.709664,1748540441.709615678,48.90
2025/05/30-02:40:41.719776,1748540441.719725367,50.68
2025/05/30-02:40:41.729885,1748540441.729836703,49.19
2025/05/30-02:40:41.739996,1748540441.739946737,50.04
2025/05/30-02:40:41.750107,1748540441.750057485,49.88
2025/05/30-02:40:41.760218,1748540441.760167863,50.18
2025/05/30-02:40:41.770329,1748540441.770278990,50.08
2025/05/30-02:40:41.780440,1748540441.780389566,50.46
2025/05/30-02:40:41.790549,1748540441.790500619,49.19
2025/05/30-02:40:41.800660,1748540441.800610290,50.62
2025/05/30-02:40:41.810775,1748540441.810720857,54.21
2025/05/30-02:40:41.820884,1748540441.820836148,48.72
2025/05/30-02:40:41.830995,1748540441.830945509,49.53
2025/05/30-02:40:41.841109,1748540441.841055778,53.47
2025/05/30-02:40:41.851220,1748540441.851169762,51.05
2025/05/30-02:40:41.861336,1748540441.861281266,55.66
2025/05/30-02:40:41.871448,1748540441.871397821,50.96
2025/05/30-02:40:41.881564,1748540441.881509286,54.79
2025/05/30-02:40:41.891676,1748540441.891624304,51.71
2025/05/30-02:40:41.901787,1748540441.901736123,51.03
2025/05/30-02:40:41.911897,1748540441.911848281,49.54
2025/05/30-02:40:41.922008,1748540441.921958402,50.09
2025/05/30-02:40:41.932120,1748540441.932068798,51.29
2025/05/30-02:40:41.942230,1748540441.942180227,49.88
2025/05/30-02:40:41.952341,1748540441.952290998,50.16
2025/05/30-02:40:41.962452,1748540441.962402203,50.23
2025/05/30-02:40:41.972563,1748540441.972513003,50.84
2025/05/30-02:40:41.982674,1748540441.982624179,49.91
2025/05/30-02:40:41.992784,1748540441.992734619,50.04
2025/05/30-02:40:42.002896,1748540442.002844959,51.24
2025/05/30-02:40:42.013010,1748540442.012957232,53.34
2025/05/30-02:40:42.023121,1748540442.023071228,50.05
2025/05/30-02:40:42.033231,1748540442.033181627,49.47
2025/05/30-02:40:42.043341,1748540442.043291666,50.00
2025/05/30-02:40:42.053452,1748540442.053403542,49.26
2025/05/30-02:40:42.063564,1748540442.063513561,50.87
2025/05/30-02:40:42.073674,1748540442.073624937,49.24
2025/05/30-02:40:42.083785,1748540442.083734370,50.84
2025/05/30-02:40:42.093896,1748540442.093845206,51.27
2025/05/30-02:40:42.104008,1748540442.103957443,51.32
2025/05/30-02:40:42.114119,1748540442.114069550,50.32
2025/05/30-02:40:42.124231,1748540442.124180433,51.56
2025/05/30-02:40:42.134342,1748540442.134292385,50.43
2025/05/30-02:40:42.144454,1748540442.144403750,50.88
2025/05/30-02:40:42.154565,1748540442.154515111,49.98
2025/05/30-02:40:42.164676,1748540442.164625658,50.39
2025/05/30-02:40:42.174789,1748540442.174737745,51.80
2025/05/30-02:40:42.184900,1748540442.184850064,50.51
2025/05/30-02:40:42.195010,1748540442.194960990,49.31
2025/05/30-02:40:42.205121,1748540442.205071008,50.69
2025/05/30-02:40:42.215233,1748540442.215182849,51.05
2025/05/30-02:40:42.225345,1748540442.225294193,51.74
2025/05/30-02:40:42.235456,1748540442.235406754,49.68
2025/05/30-02:40:42.245571,1748540442.245516788,55.15
2025/05/30-02:40:42.255684,1748540442.255632612,52.17
2025/05/30-02:40:42.265795,1748540442.265745012,50.76
2025/05/30-02:40:42.275911,1748540442.275856551,54.53
2025/05/30-02:40:42.286023,1748540442.285972671,50.88
2025/05/30-02:40:42.296135,1748540442.296085836,49.48
2025/05/30-02:40:42.306247,1748540442.306196214,51.17
2025/05/30-02:40:42.316359,1748540442.316308256,51.48
2025/05/30-02:40:42.326471,1748540442.326420639,51.04
2025/05/30-02:40:42.336585,1748540442.336532512,52.63
2025/05/30-02:40:42.346701,1748540442.346645405,56.56
2025/05/30-02:40:42.356814,1748540442.356763772,51.19
2025/05/30-02:40:42.366928,1748540442.366876761,51.59
2025/05/30-02:40:42.377044,1748540442.376989211,55.51
2025/05/30-02:40:42.387166,1748540442.387116069,50.45
2025/05/30-02:40:42.397280,1748540442.397228089,52.02
2025/05/30-02:40:42.407395,1748540442.407340483,55.29
2025/05/30-02:40:42.417509,1748540442.417456674,52.33
2025/05/30-02:40:42.427621,1748540442.427569222,52.43
2025/05/30-02:40:42.437732,1748540442.437682347,50.65
2025/05/30-02:40:42.447846,1748540442.447795864,50.91
2025/05/30-02:40:42.457958,1748540442.457907757,50.94
