2025/06/09-00:51:33.384612,1749397893.383935956,676
2025/06/09-00:51:34.385413,1749397894.384805109,608
2025/06/09-00:51:35.386380,1749397895.385584202,796
2025/06/09-00:51:36.387193,1749397896.386547292,646
2025/06/09-00:51:37.388154,1749397897.387336152,818
2025/06/09-00:51:38.388905,1749397898.388299549,606
2025/06/09-00:51:39.389665,1749397899.389059680,605
2025/06/09-00:51:40.390570,1749397900.389798804,771
2025/06/09-00:51:41.391379,1749397901.390726051,653
2025/06/09-00:51:42.392133,1749397902.391521127,612
2025/06/09-00:51:43.392937,1749397903.392291516,645
2025/06/09-00:51:44.393722,1749397904.393121104,601
2025/06/09-00:51:45.394551,1749397905.393879263,671
2025/06/09-00:51:46.396850,1749397906.394709643,2141
2025/06/09-00:51:47.398930,1749397907.397004374,1926
2025/06/09-00:51:48.399639,1749397908.399069223,570
2025/06/09-00:51:49.400379,1749397909.399796375,583
2025/06/09-00:51:50.401066,1749397910.400520168,546
2025/06/09-00:51:51.403005,1749397911.401210834,1794
2025/06/09-00:51:52.403749,1749397912.403148550,601
2025/06/09-00:51:53.404625,1749397913.403901866,723
2025/06/09-00:51:54.405372,1749397914.404771896,600
2025/06/09-00:51:55.406406,1749397915.405523275,882
2025/06/09-00:51:56.408430,1749397916.406559652,1871
2025/06/09-00:51:57.409813,1749397917.408592863,1220
2025/06/09-00:51:58.410729,1749397918.409961372,768
2025/06/09-00:51:59.412100,1749397919.410862540,1237
2025/06/09-00:52:00.412797,1749397920.412247682,549
2025/06/09-00:52:01.413668,1749397921.412931681,736
2025/06/09-00:52:02.414623,1749397922.413808101,815
2025/06/09-00:52:03.415397,1749397923.414769283,627
2025/06/09-00:52:04.416694,1749397924.415563614,1130
2025/06/09-00:52:05.417553,1749397925.416824358,729
2025/06/09-00:52:06.418481,1749397926.417687518,794
2025/06/09-00:52:07.419184,1749397927.418637544,547
2025/06/09-00:52:08.420638,1749397928.419323668,1314
2025/06/09-00:52:09.421359,1749397929.420777828,581
2025/06/09-00:52:10.422502,1749397930.421490608,1011
2025/06/09-00:52:11.423216,1749397931.422648212,567
2025/06/09-00:52:12.424072,1749397932.423363221,709
2025/06/09-00:52:13.424782,1749397933.424229765,553
2025/06/09-00:52:14.425505,1749397934.424941387,564
2025/06/09-00:52:15.426270,1749397935.425663636,606
2025/06/09-00:52:16.426957,1749397936.426422830,534
2025/06/09-00:52:17.427865,1749397937.427100516,765
2025/06/09-00:52:18.428721,1749397938.428001799,720
2025/06/09-00:52:19.429849,1749397939.428868893,980
2025/06/09-00:52:20.430733,1749397940.429979696,754
2025/06/09-00:52:21.431625,1749397941.430878404,747
2025/06/09-00:52:22.432455,1749397942.431783032,672
2025/06/09-00:52:23.433186,1749397943.432617671,568
2025/06/09-00:52:24.433899,1749397944.433335164,563
2025/06/09-00:52:25.434606,1749397945.434057133,549
2025/06/09-00:52:26.435337,1749397946.434754032,583
2025/06/09-00:52:27.436038,1749397947.435482345,556
2025/06/09-00:52:28.436840,1749397948.436219016,621
2025/06/09-00:52:29.437577,1749397949.436990991,586
2025/06/09-00:52:30.438427,1749397950.437729155,698
2025/06/09-00:52:31.439281,1749397951.438580017,701
2025/06/09-00:52:32.440900,1749397952.439426439,1474
