2025/06/09-17:04:22.322726,1749456262.322672217,54.66
2025/06/09-17:04:22.332890,1749456262.332823541,67.32
2025/06/09-17:04:22.343013,1749456262.342954213,58.84
2025/06/09-17:04:22.353132,1749456262.353075265,57.59
2025/06/09-17:04:22.363255,1749456262.363195159,60.66
2025/06/09-17:04:22.373383,1749456262.373317601,66.19
2025/06/09-17:04:22.383509,1749456262.383445481,63.56
2025/06/09-17:04:22.393628,1749456262.393569688,58.59
2025/06/09-17:04:22.403752,1749456262.403689855,63.04
2025/06/09-17:04:22.413872,1749456262.413813995,58.26
2025/06/09-17:04:22.423997,1749456262.423933791,64.00
2025/06/09-17:04:22.434116,1749456262.434058267,57.91
2025/06/09-17:04:22.444234,1749456262.444177191,57.74
2025/06/09-17:04:22.454354,1749456262.454295472,58.61
2025/06/09-17:04:22.464479,1749456262.464415403,63.69
2025/06/09-17:04:22.474598,1749456262.474539559,58.89
2025/06/09-17:04:22.484717,1749456262.484659640,57.77
2025/06/09-17:04:22.494836,1749456262.494778485,57.80
2025/06/09-17:04:22.504957,1749456262.504897493,60.38
2025/06/09-17:04:22.515076,1749456262.515018845,57.90
2025/06/09-17:04:22.525197,1749456262.525137986,59.62
2025/06/09-17:04:22.535319,1749456262.535258111,61.42
2025/06/09-17:04:22.545447,1749456262.545380547,66.68
2025/06/09-17:04:22.555568,1749456262.555508459,60.20
2025/06/09-17:04:22.565695,1749456262.565629819,65.28
2025/06/09-17:04:22.575820,1749456262.575756006,64.56
2025/06/09-17:04:22.585941,1749456262.585881529,60.29
2025/06/09-17:04:22.596059,1749456262.596002836,56.97
2025/06/09-17:04:22.606177,1749456262.606120455,56.83
2025/06/09-17:04:22.616300,1749456262.616237779,62.50
2025/06/09-17:04:22.626425,1749456262.626361705,64.04
2025/06/09-17:04:22.636543,1749456262.636486490,57.40
2025/06/09-17:04:22.646666,1749456262.646605108,60.92
2025/06/09-17:04:22.656787,1749456262.656726642,60.58
2025/06/09-17:04:22.666916,1749456262.666857905,58.94
2025/06/09-17:04:22.677050,1749456262.676984664,66.00
2025/06/09-17:04:22.687175,1749456262.687112432,63.01
2025/06/09-17:04:22.697298,1749456262.697236259,62.24
2025/06/09-17:04:22.707419,1749456262.707359258,60.67
2025/06/09-17:04:22.717544,1749456262.717481221,63.72
2025/06/09-17:04:22.727663,1749456262.727604818,59.12
2025/06/09-17:04:22.737784,1749456262.737724230,60.69
2025/06/09-17:04:22.747914,1749456262.747845592,69.33
2025/06/09-17:04:22.758034,1749456262.757975171,59.34
2025/06/09-17:04:22.768155,1749456262.768095474,60.44
2025/06/09-17:04:22.778274,1749456262.778216139,58.61
2025/06/09-17:04:22.788401,1749456262.788334880,66.81
2025/06/09-17:04:22.798523,1749456262.798462871,60.70
2025/06/09-17:04:22.808642,1749456262.808583662,58.89
2025/06/09-17:04:22.818762,1749456262.818703224,59.48
2025/06/09-17:04:22.828887,1749456262.828822891,65.09
2025/06/09-17:04:22.839005,1749456262.838948758,56.57
2025/06/09-17:04:22.849124,1749456262.849066367,58.05
2025/06/09-17:04:22.859242,1749456262.859184739,57.47
2025/06/09-17:04:22.869367,1749456262.869302661,65.04
2025/06/09-17:04:22.879486,1749456262.879428470,58.49
2025/06/09-17:04:22.889606,1749456262.889547762,58.94
2025/06/09-17:04:22.899727,1749456262.899667280,60.65
2025/06/09-17:04:22.909853,1749456262.909787966,65.71
2025/06/09-17:04:22.919975,1749456262.919914821,61.07
2025/06/09-17:04:22.930096,1749456262.930036467,60.31
2025/06/09-17:04:22.940215,1749456262.940157248,58.40
2025/06/09-17:04:22.950336,1749456262.950276216,60.19
