2025/06/09-01:13:59.583489,1749399239.583368609,120.44
2025/06/09-01:13:59.593714,1749399239.593587761,127.06
2025/06/09-01:13:59.603923,1749399239.603777708,145.88
2025/06/09-01:13:59.614115,1749399239.613985446,130.22
2025/06/09-01:13:59.624304,1749399239.624176501,128.36
2025/06/09-01:13:59.634504,1749399239.634366025,138.89
2025/06/09-01:13:59.644705,1749399239.644565992,139.78
2025/06/09-01:13:59.654898,1749399239.654766172,132.72
2025/06/09-01:13:59.665090,1749399239.664960225,130.12
2025/06/09-01:13:59.675274,1749399239.675152218,122.60
2025/06/09-01:13:59.685473,1749399239.685335770,137.97
2025/06/09-01:13:59.695680,1749399239.695535137,145.11
2025/06/09-01:13:59.705877,1749399239.705741384,136.16
2025/06/09-01:13:59.716072,1749399239.715938097,134.65
2025/06/09-01:13:59.726268,1749399239.726133893,134.22
2025/06/09-01:13:59.736480,1749399239.736328841,151.88
2025/06/09-01:13:59.746690,1749399239.746542262,148.30
2025/06/09-01:13:59.756890,1749399239.756752161,138.45
2025/06/09-01:13:59.767085,1749399239.766952054,133.00
2025/06/09-01:13:59.777288,1749399239.777146288,142.44
2025/06/09-01:13:59.787485,1749399239.787349647,135.65
2025/06/09-01:13:59.797680,1749399239.797546651,133.76
2025/06/09-01:13:59.807873,1749399239.807740952,133.00
2025/06/09-01:13:59.818076,1749399239.817935137,141.22
2025/06/09-01:13:59.828266,1749399239.828137775,128.74
2025/06/09-01:13:59.838471,1749399239.838328310,142.88
2025/06/09-01:13:59.848668,1749399239.848531895,136.40
2025/06/09-01:13:59.858853,1749399239.858729355,124.39
2025/06/09-01:13:59.869045,1749399239.868914722,131.23
2025/06/09-01:13:59.879235,1749399239.879106678,128.53
2025/06/09-01:13:59.889429,1749399239.889296271,132.94
2025/06/09-01:13:59.899621,1749399239.899490210,131.15
2025/06/09-01:13:59.909816,1749399239.909682137,134.25
2025/06/09-01:13:59.920005,1749399239.919877402,127.91
2025/06/09-01:13:59.930201,1749399239.930065636,136.00
2025/06/09-01:13:59.940395,1749399239.940262880,132.41
2025/06/09-01:13:59.950605,1749399239.950456501,149.19
2025/06/09-01:13:59.960802,1749399239.960666796,135.54
2025/06/09-01:13:59.971000,1749399239.970863502,136.91
2025/06/09-01:13:59.981191,1749399239.981061440,129.94
2025/06/09-01:13:59.991389,1749399239.991252515,136.90
2025/06/09-01:14:00.001583,1749399240.001450652,132.51
2025/06/09-01:14:00.011782,1749399240.011644425,138.42
2025/06/09-01:14:00.021972,1749399240.021844138,128.36
2025/06/09-01:14:00.032165,1749399240.032033761,131.62
2025/06/09-01:14:00.042368,1749399240.042230185,138.28
2025/06/09-01:14:00.052572,1749399240.052432905,140.00
2025/06/09-01:14:00.062774,1749399240.062635133,139.12
2025/06/09-01:14:00.072965,1749399240.072837412,127.92
2025/06/09-01:14:00.083164,1749399240.083027291,137.14
2025/06/09-01:14:00.093354,1749399240.093225268,129.08
2025/06/09-01:14:00.103549,1749399240.103415746,133.84
2025/06/09-01:14:00.113746,1749399240.113611291,135.02
2025/06/09-01:14:00.123943,1749399240.123807943,135.13
2025/06/09-01:14:00.134127,1749399240.134004244,123.74
2025/06/09-01:14:00.144322,1749399240.144189037,133.34
2025/06/09-01:14:00.154511,1749399240.154383425,128.26
2025/06/09-01:14:00.164708,1749399240.164572153,135.96
2025/06/09-01:14:00.174905,1749399240.174769463,135.93
2025/06/09-01:14:00.185113,1749399240.184967018,146.27
2025/06/09-01:14:00.195310,1749399240.195174427,136.31
2025/06/09-01:14:00.205504,1749399240.205372404,132.53
2025/06/09-01:14:00.215691,1749399240.215565212,126.68
2025/06/09-01:14:00.225882,1749399240.225753301,129.48
2025/06/09-01:14:00.236072,1749399240.235943795,128.42
2025/06/09-01:14:00.246263,1749399240.246133923,129.67
2025/06/09-01:14:00.256458,1749399240.256324306,134.17
2025/06/09-01:14:00.266665,1749399240.266519466,146.11
2025/06/09-01:14:00.276866,1749399240.276726888,139.42
2025/06/09-01:14:00.287060,1749399240.286927961,132.14
2025/06/09-01:14:00.297259,1749399240.297120796,138.69
2025/06/09-01:14:00.307448,1749399240.307320653,128.13
2025/06/09-01:14:00.317658,1749399240.317515888,142.63
2025/06/09-01:14:00.327859,1749399240.327726288,133.70
2025/06/09-01:14:00.338054,1749399240.337923021,131.78
2025/06/09-01:14:00.348269,1749399240.348135347,134.31
2025/06/09-01:14:00.358470,1749399240.358332532,137.75
2025/06/09-01:14:00.368663,1749399240.368532427,130.59
2025/06/09-01:14:00.378860,1749399240.378725046,135.63
2025/06/09-01:14:00.389053,1749399240.388922576,130.57
2025/06/09-01:14:00.399251,1749399240.399115251,135.92
2025/06/09-01:14:00.409442,1749399240.409313398,128.87
2025/06/09-01:14:00.419631,1749399240.419504044,127.72
2025/06/09-01:14:00.429818,1749399240.429693459,125.25
2025/06/09-01:14:00.440010,1749399240.439880486,130.06
2025/06/09-01:14:00.450200,1749399240.450072301,128.50
2025/06/09-01:14:00.460397,1749399240.460262789,134.75
2025/06/09-01:14:00.470594,1749399240.470459689,135.23
2025/06/09-01:14:00.480790,1749399240.480656494,133.69
2025/06/09-01:14:00.490980,1749399240.490851926,128.99
2025/06/09-01:14:00.501179,1749399240.501042931,136.29
2025/06/09-01:14:00.511370,1749399240.511240755,129.85
2025/06/09-01:14:00.521580,1749399240.521432603,147.93
2025/06/09-01:14:00.531771,1749399240.531642228,128.97
2025/06/09-01:14:00.541960,1749399240.541832502,128.19
2025/06/09-01:14:00.552151,1749399240.552022766,128.40
2025/06/09-01:14:00.562352,1749399240.562213011,139.58
2025/06/09-01:14:00.572551,1749399240.572414612,136.53
2025/06/09-01:14:00.582748,1749399240.582612986,135.30
2025/06/09-01:14:00.592942,1749399240.592810004,132.53
2025/06/09-01:14:00.603145,1749399240.603004542,140.71
2025/06/09-01:14:00.613337,1749399240.613207187,129.87
2025/06/09-01:14:00.623527,1749399240.623398723,129.22
2025/06/09-01:14:00.633725,1749399240.633589425,136.03
2025/06/09-01:14:00.643913,1749399240.643787097,126.20
2025/06/09-01:14:00.654109,1749399240.653975792,133.78
2025/06/09-01:14:00.664301,1749399240.664171195,130.62
2025/06/09-01:14:00.674512,1749399240.674363626,148.90
2025/06/09-01:14:00.684706,1749399240.684574033,132.03
2025/06/09-01:14:00.694898,1749399240.694767436,130.69
2025/06/09-01:14:00.705092,1749399240.704961061,131.12
2025/06/09-01:14:00.715299,1749399240.715154262,145.50
2025/06/09-01:14:00.725491,1749399240.725361693,130.26
2025/06/09-01:14:00.735682,1749399240.735554036,128.83
2025/06/09-01:14:00.745882,1749399240.745744257,138.57
2025/06/09-01:14:00.756077,1749399240.755945234,131.77
2025/06/09-01:14:00.766270,1749399240.766139002,131.85
2025/06/09-01:14:00.776465,1749399240.776332755,133.00
2025/06/09-01:14:00.786672,1749399240.786527552,144.80
2025/06/09-01:14:00.796868,1749399240.796733859,134.51
2025/06/09-01:14:00.807070,1749399240.806930690,140.19
2025/06/09-01:14:00.817260,1749399240.817132723,128.25
2025/06/09-01:14:00.827457,1749399240.827322791,135.13
2025/06/09-01:14:00.837660,1749399240.837519442,141.34
2025/06/09-01:14:00.847859,1749399240.847722882,136.17
2025/06/09-01:14:00.858056,1749399240.857921337,134.68
2025/06/09-01:14:00.868252,1749399240.868118014,134.98
2025/06/09-01:14:00.878447,1749399240.878315246,132.27
2025/06/09-01:14:00.888636,1749399240.888509139,127.84
2025/06/09-01:14:00.898829,1749399240.898698656,130.50
2025/06/09-01:14:00.909025,1749399240.908891404,134.16
2025/06/09-01:14:00.919215,1749399240.919087460,127.94
2025/06/09-01:14:00.929414,1749399240.929277360,137.41
2025/06/09-01:14:00.939600,1749399240.939476312,124.06
2025/06/09-01:14:00.949804,1749399240.949662230,142.22
2025/06/09-01:14:00.959995,1749399240.959866570,128.66
2025/06/09-01:14:00.970192,1749399240.970057032,135.26
2025/06/09-01:14:00.980387,1749399240.980254258,132.78
2025/06/09-01:14:00.990579,1749399240.990448522,131.12
2025/06/09-01:14:01.000770,1749399241.000641923,128.11
2025/06/09-01:14:01.010960,1749399241.010832551,128.28
2025/06/09-01:14:01.021140,1749399241.021022511,118.41
2025/06/09-01:14:01.031331,1749399241.031202471,129.48
2025/06/09-01:14:01.041528,1749399241.041393534,134.70
2025/06/09-01:14:01.051734,1749399241.051590043,143.98
2025/06/09-01:14:01.061932,1749399241.061796493,135.60
2025/06/09-01:14:01.072141,1749399241.071993525,147.56
2025/06/09-01:14:01.082338,1749399241.082202435,135.76
2025/06/09-01:14:01.092523,1749399241.092399857,123.44
2025/06/09-01:14:01.102720,1749399241.102594858,125.77
2025/06/09-01:14:01.112912,1749399241.112783197,129.17
2025/06/09-01:14:01.123113,1749399241.122974203,139.51
2025/06/09-01:14:01.133312,1749399241.133175655,136.97
2025/06/09-01:14:01.143504,1749399241.143373844,130.36
2025/06/09-01:14:01.153698,1749399241.153566162,132.58
2025/06/09-01:14:01.163894,1749399241.163760743,133.30
2025/06/09-01:14:01.174083,1749399241.173955771,128.06
2025/06/09-01:14:01.184280,1749399241.184145517,135.14
2025/06/09-01:14:01.194468,1749399241.194342254,126.69
2025/06/09-01:14:01.204660,1749399241.204531516,129.03
2025/06/09-01:14:01.214849,1749399241.214722628,126.57
2025/06/09-01:14:01.225045,1749399241.224911077,134.41
2025/06/09-01:14:01.235239,1749399241.235107142,132.03
2025/06/09-01:14:01.245436,1749399241.245300433,135.65
2025/06/09-01:14:01.255632,1749399241.255498057,134.06
2025/06/09-01:14:01.265826,1749399241.265693768,132.75
2025/06/09-01:14:01.276015,1749399241.275888015,127.56
