2025/06/09-01:03:03.678311,1749398583.677561203,750
2025/06/09-01:03:03.779286,1749398583.778510777,775
2025/06/09-01:03:03.880161,1749398583.879439179,722
2025/06/09-01:03:03.981020,1749398583.980308077,712
2025/06/09-01:03:04.82054,1749398584.081175836,879
2025/06/09-01:03:04.182945,1749398584.182220334,725
2025/06/09-01:03:04.283921,1749398584.283117426,803
2025/06/09-01:03:04.384786,1749398584.384064575,722
2025/06/09-01:03:04.485641,1749398584.484924897,716
2025/06/09-01:03:04.587595,1749398584.585758319,1836
2025/06/09-01:03:04.689109,1749398584.687714989,1394
2025/06/09-01:03:04.790054,1749398584.789258943,795
2025/06/09-01:03:04.890918,1749398584.890181837,736
2025/06/09-01:03:04.991807,1749398584.991059251,747
2025/06/09-01:03:05.92749,1749398585.091986670,762
2025/06/09-01:03:05.193556,1749398585.192901619,654
2025/06/09-01:03:05.294522,1749398585.293740648,781
2025/06/09-01:03:05.396134,1749398585.394645864,1488
2025/06/09-01:03:05.496985,1749398585.496278744,706
2025/06/09-01:03:05.597888,1749398585.597116222,771
2025/06/09-01:03:05.698790,1749398585.698042057,748
2025/06/09-01:03:05.799652,1749398585.798915549,737
2025/06/09-01:03:05.900671,1749398585.899781345,890
2025/06/09-01:03:06.1609,1749398586.000814049,795
2025/06/09-01:03:06.102612,1749398586.101741346,871
2025/06/09-01:03:06.203526,1749398586.202763556,762
2025/06/09-01:03:06.304587,1749398586.303661387,926
2025/06/09-01:03:06.405460,1749398586.404708571,751
2025/06/09-01:03:06.506812,1749398586.505579699,1233
2025/06/09-01:03:06.607645,1749398586.606932451,713
2025/06/09-01:03:06.708537,1749398586.707796904,740
2025/06/09-01:03:06.809730,1749398586.808657853,1072
2025/06/09-01:03:06.911122,1749398586.909854624,1267
2025/06/09-01:03:07.12002,1749398587.011246616,755
2025/06/09-01:03:07.112852,1749398587.112129237,723
2025/06/09-01:03:07.213761,1749398587.213013943,747
2025/06/09-01:03:07.314711,1749398587.313897954,813
