2025/06/09-01:28:10.766004,1749400090.765955952,48.42
2025/06/09-01:28:10.776162,1749400090.776100443,61.78
2025/06/09-01:28:10.786283,1749400090.786225217,58.10
2025/06/09-01:28:10.796407,1749400090.796344833,62.46
2025/06/09-01:28:10.806533,1749400090.806468537,64.69
2025/06/09-01:28:10.816666,1749400090.816594869,71.25
2025/06/09-01:28:10.826785,1749400090.826727345,58.44
2025/06/09-01:28:10.836907,1749400090.836846855,60.33
2025/06/09-01:28:10.847025,1749400090.846968216,57.41
2025/06/09-01:28:10.857143,1749400090.857086060,56.98
2025/06/09-01:28:10.867263,1749400090.867203636,60.05
2025/06/09-01:28:10.877382,1749400090.877324075,58.27
2025/06/09-01:28:10.887502,1749400090.887443579,58.79
2025/06/09-01:28:10.897619,1749400090.897563157,56.77
2025/06/09-01:28:10.907743,1749400090.907680849,63.05
2025/06/09-01:28:10.917862,1749400090.917804807,58.02
2025/06/09-01:28:10.927985,1749400090.927923617,61.58
2025/06/09-01:28:10.938106,1749400090.938046006,60.57
2025/06/09-01:28:10.948227,1749400090.948167543,59.49
2025/06/09-01:28:10.958346,1749400090.958288236,58.15
2025/06/09-01:28:10.968466,1749400090.968407094,58.98
2025/06/09-01:28:10.978588,1749400090.978526848,61.40
2025/06/09-01:28:10.988714,1749400090.988648836,65.61
2025/06/09-01:28:10.998833,1749400090.998775398,58.27
2025/06/09-01:28:11.008959,1749400091.008894670,64.44
2025/06/09-01:28:11.019069,1749400091.019019799,49.23
2025/06/09-01:28:11.029186,1749400091.029129682,57.31
2025/06/09-01:28:11.039306,1749400091.039247272,59.03
2025/06/09-01:28:11.049426,1749400091.049367491,58.76
2025/06/09-01:28:11.059544,1749400091.059486794,57.58
2025/06/09-01:28:11.069673,1749400091.069605095,68.47
2025/06/09-01:28:11.079801,1749400091.079734351,66.89
2025/06/09-01:28:11.089920,1749400091.089862662,57.72
2025/06/09-01:28:11.100040,1749400091.099981503,58.73
2025/06/09-01:28:11.110164,1749400091.110100694,64.20
2025/06/09-01:28:11.120283,1749400091.120226134,57.36
2025/06/09-01:28:11.130404,1749400091.130345688,58.66
2025/06/09-01:28:11.140529,1749400091.140465763,63.57
2025/06/09-01:28:11.150647,1749400091.150590147,57.62
2025/06/09-01:28:11.160767,1749400091.160708634,58.38
2025/06/09-01:28:11.170891,1749400091.170827536,63.56
2025/06/09-01:28:11.181010,1749400091.180951415,58.63
2025/06/09-01:28:11.191133,1749400091.191071025,62.28
2025/06/09-01:28:11.201250,1749400091.201193543,56.51
2025/06/09-01:28:11.211371,1749400091.211310505,60.69
2025/06/09-01:28:11.221493,1749400091.221432054,61.92
2025/06/09-01:28:11.231618,1749400091.231555080,63.43
2025/06/09-01:28:11.241738,1749400091.241679583,58.92
2025/06/09-01:28:11.251856,1749400091.251796970,59.14
2025/06/09-01:28:11.261978,1749400091.261917020,61.88
2025/06/09-01:28:11.272107,1749400091.272039435,67.73
2025/06/09-01:28:11.282227,1749400091.282167886,59.62
2025/06/09-01:28:11.292350,1749400091.292288526,61.96
2025/06/09-01:28:11.302469,1749400091.302411086,58.89
2025/06/09-01:28:11.312591,1749400091.312530818,60.70
2025/06/09-01:28:11.322715,1749400091.322656232,59.02
2025/06/09-01:28:11.332836,1749400091.332779725,57.17
2025/06/09-01:28:11.342955,1749400091.342898784,57.20
2025/06/09-01:28:11.353084,1749400091.353016440,68.54
2025/06/09-01:28:11.363202,1749400091.363145662,56.52
2025/06/09-01:28:11.373324,1749400091.373262765,61.38
2025/06/09-01:28:11.383448,1749400091.383384601,64.34
2025/06/09-01:28:11.393574,1749400091.393509598,64.75
2025/06/09-01:28:11.403694,1749400091.403634817,59.25
2025/06/09-01:28:11.413812,1749400091.413754690,58.13
2025/06/09-01:28:11.423930,1749400091.423873242,57.13
2025/06/09-01:28:11.434048,1749400091.433991422,57.00
2025/06/09-01:28:11.444167,1749400091.444109325,58.50
2025/06/09-01:28:11.454286,1749400091.454228508,57.50
2025/06/09-01:28:11.464408,1749400091.464346716,61.45
2025/06/09-01:28:11.474533,1749400091.474468827,64.18
2025/06/09-01:28:11.484651,1749400091.484594208,57.46
2025/06/09-01:28:11.494770,1749400091.494712238,58.31
2025/06/09-01:28:11.504889,1749400091.504831318,57.91
2025/06/09-01:28:11.515009,1749400091.514949348,60.24
2025/06/09-01:28:11.525128,1749400091.525070665,57.36
2025/06/09-01:28:11.535262,1749400091.535204116,58.30
2025/06/09-01:28:11.545383,1749400091.545323904,59.67
2025/06/09-01:28:11.555502,1749400091.555444255,58.36
