2025/06/11-17:10:21.516688,1749629421.516638319,50.26
2025/06/11-17:10:22.516850,1749629422.516790342,60.43
2025/06/11-17:10:23.516985,1749629423.516926000,59.45
2025/06/11-17:10:24.517122,1749629424.517062073,60.45
2025/06/11-17:10:25.517256,1749629425.517197306,58.74
2025/06/11-17:10:26.517392,1749629426.517330058,62.41
2025/06/11-17:10:27.517526,1749629427.517466865,59.18
2025/06/11-17:10:28.517657,1749629428.517598962,58.72
2025/06/11-17:10:29.517792,1749629429.517730734,61.55
2025/06/11-17:10:30.517926,1749629430.517867215,59.31
2025/06/11-17:10:31.518058,1749629431.518000280,58.09
2025/06/11-17:10:32.518194,1749629432.518136666,58.17
2025/06/11-17:10:33.518332,1749629433.518271057,61.86
2025/06/11-17:10:34.518463,1749629434.518406615,57.29
2025/06/11-17:10:35.518596,1749629435.518536865,59.32
2025/06/11-17:10:36.518728,1749629436.518668998,59.82
2025/06/11-17:10:37.518863,1749629437.518802121,60.96
2025/06/11-17:10:38.518997,1749629438.518939369,58.12
2025/06/11-17:10:39.519131,1749629439.519073903,58.01
2025/06/11-17:10:40.519264,1749629440.519205718,59.22
2025/06/11-17:10:41.519399,1749629441.519339922,59.19
2025/06/11-17:10:42.519538,1749629442.519477948,60.99
2025/06/11-17:10:43.519676,1749629443.519612529,64.30
2025/06/11-17:10:44.519810,1749629444.519751280,59.24
2025/06/11-17:10:45.519944,1749629445.519885161,59.33
2025/06/11-17:10:46.520075,1749629446.520018586,57.07
2025/06/11-17:10:47.520209,1749629447.520148477,60.55
2025/06/11-17:10:48.520348,1749629448.520284152,64.62
2025/06/11-17:10:49.520485,1749629449.520424640,61.19
2025/06/11-17:10:50.520622,1749629450.520564565,58.15
2025/06/11-17:10:51.520759,1749629451.520699946,59.12
2025/06/11-17:10:52.520901,1749629452.520839773,61.47
2025/06/11-17:10:53.521038,1749629453.520978565,59.48
2025/06/11-17:10:54.521173,1749629454.521114323,59.43
2025/06/11-17:10:55.521311,1749629455.521251403,60.31
2025/06/11-17:10:56.521453,1749629456.521393595,59.76
2025/06/11-17:10:57.521591,1749629457.521532277,59.49
2025/06/11-17:10:58.521731,1749629458.521669337,62.57
2025/06/11-17:10:59.521873,1749629459.521809518,64.01
2025/06/11-17:11:00.522015,1749629460.521953297,62.49
2025/06/11-17:11:01.522152,1749629461.522094139,58.84
2025/06/11-17:11:02.522293,1749629462.522234171,59.38
2025/06/11-17:11:03.522423,1749629463.522367754,55.99
2025/06/11-17:11:04.522556,1749629464.522495941,60.61
2025/06/11-17:11:05.522694,1749629465.522632304,61.99
2025/06/11-17:11:06.522824,1749629466.522766843,57.19
2025/06/11-17:11:07.522960,1749629467.522901606,59.29
2025/06/11-17:11:08.523094,1749629468.523036110,58.64
2025/06/11-17:11:09.523223,1749629469.523167638,55.52
2025/06/11-17:11:10.523357,1749629470.523298256,59.71
2025/06/11-17:11:11.523492,1749629471.523433515,58.63
2025/06/11-17:11:12.523627,1749629472.523569526,58.24
2025/06/11-17:11:13.523759,1749629473.523700406,59.59
2025/06/11-17:11:14.523894,1749629474.523833439,61.16
2025/06/11-17:11:15.524026,1749629475.523967665,58.51
2025/06/11-17:11:16.524159,1749629476.524099371,59.65
2025/06/11-17:11:17.524290,1749629477.524230994,59.66
2025/06/11-17:11:18.524423,1749629478.524361925,61.08
2025/06/11-17:11:19.524554,1749629479.524493621,60.90
2025/06/11-17:11:20.524685,1749629480.524627634,58.04
