2025/06/03-03:33:44.951528,1748889224.951484307,44.06
2025/06/03-03:33:45.051679,1748889225.051626852,52.71
2025/06/03-03:33:45.151799,1748889225.151743957,55.54
2025/06/03-03:33:45.251916,1748889225.251863523,52.72
2025/06/03-03:33:45.352031,1748889225.351979590,52.12
2025/06/03-03:33:45.452153,1748889225.452094361,59.36
2025/06/03-03:33:45.552268,1748889225.552216820,51.43
2025/06/03-03:33:45.652384,1748889225.652331249,52.83
2025/06/03-03:33:45.752500,1748889225.752447255,52.75
2025/06/03-03:33:45.852614,1748889225.852562679,51.53
2025/06/03-03:33:45.952728,1748889225.952676637,52.00
2025/06/03-03:33:46.052850,1748889226.052790314,59.82
2025/06/03-03:33:46.152968,1748889226.152912896,55.87
2025/06/03-03:33:46.253092,1748889226.253031737,60.78
2025/06/03-03:33:46.353209,1748889226.353156055,53.27
2025/06/03-03:33:46.453329,1748889226.453271840,57.61
2025/06/03-03:33:46.553448,1748889226.553391836,56.99
2025/06/03-03:33:46.653570,1748889226.653510272,60.25
2025/06/03-03:33:46.753685,1748889226.753633182,52.60
2025/06/03-03:33:46.853801,1748889226.853748953,52.97
2025/06/03-03:33:46.953919,1748889226.953865586,53.98
2025/06/03-03:33:47.054035,1748889227.053982740,52.71
2025/06/03-03:33:47.154149,1748889227.154099169,50.03
2025/06/03-03:33:47.254266,1748889227.254212417,54.45
2025/06/03-03:33:47.354382,1748889227.354330651,51.55
2025/06/03-03:33:47.454497,1748889227.454445227,52.40
2025/06/03-03:33:47.554614,1748889227.554560223,54.43
2025/06/03-03:33:47.654731,1748889227.654677620,53.98
2025/06/03-03:33:47.754848,1748889227.754795095,53.76
2025/06/03-03:33:47.854963,1748889227.854911932,51.90
2025/06/03-03:33:47.955080,1748889227.955027796,53.08
2025/06/03-03:33:48.055202,1748889228.055143427,59.30
2025/06/03-03:33:48.155321,1748889228.155265524,55.63
2025/06/03-03:33:48.255438,1748889228.255384751,54.12
2025/06/03-03:33:48.355555,1748889228.355503138,52.67
2025/06/03-03:33:48.455671,1748889228.455619120,51.99
2025/06/03-03:33:48.555787,1748889228.555734655,52.50
2025/06/03-03:33:48.655909,1748889228.655851700,57.34
2025/06/03-03:33:48.756025,1748889228.755973039,52.00
2025/06/03-03:33:48.856142,1748889228.856087901,54.65
2025/06/03-03:33:48.956261,1748889228.956205661,55.99
2025/06/03-03:33:49.056381,1748889229.056323994,57.49
2025/06/03-03:33:49.156501,1748889229.156445004,56.42
2025/06/03-03:33:49.256619,1748889229.256564451,54.68
2025/06/03-03:33:49.356735,1748889229.356682725,52.84
2025/06/03-03:33:49.456858,1748889229.456797727,60.34
2025/06/03-03:33:49.556973,1748889229.556920642,52.65
2025/06/03-03:33:49.657092,1748889229.657036296,56.50
2025/06/03-03:33:49.757225,1748889229.757156793,68.97
2025/06/03-03:33:49.857354,1748889229.857287952,66.32
2025/06/03-03:33:49.957481,1748889229.957416082,65.50
2025/06/03-03:33:50.057610,1748889230.057544080,66.82
2025/06/03-03:33:50.157741,1748889230.157673567,67.87
2025/06/03-03:33:50.257874,1748889230.257803945,70.80
2025/06/03-03:33:50.358006,1748889230.357938294,68.69
2025/06/03-03:33:50.458140,1748889230.458069600,71.34
2025/06/03-03:33:50.558271,1748889230.558202097,69.33
