2025/05/29-22:09:49.590458,1748524189.589986756,471
2025/05/29-22:09:49.691000,1748524189.690626245,374
2025/05/29-22:09:49.791475,1748524189.791134245,341
2025/05/29-22:09:49.891933,1748524189.891608738,324
2025/05/29-22:09:49.992400,1748524189.992066892,334
2025/05/29-22:09:50.92847,1748524190.092527723,319
2025/05/29-22:09:50.193317,1748524190.192987317,330
2025/05/29-22:09:50.293780,1748524190.293451851,328
2025/05/29-22:09:50.394263,1748524190.393904963,358
2025/05/29-22:09:50.494744,1748524190.494397285,347
2025/05/29-22:09:50.595294,1748524190.594866860,427
2025/05/29-22:09:50.695772,1748524190.695430267,342
2025/05/29-22:09:50.796233,1748524190.795896690,336
2025/05/29-22:09:50.896669,1748524190.896355076,314
2025/05/29-22:09:50.997131,1748524190.996797829,333
2025/05/29-22:09:51.97614,1748524191.097255156,359
2025/05/29-22:09:51.198065,1748524191.197732952,332
2025/05/29-22:09:51.298518,1748524191.298199388,319
2025/05/29-22:09:51.398975,1748524191.398648479,327
2025/05/29-22:09:51.499433,1748524191.499108354,324
2025/05/29-22:09:51.599889,1748524191.599556420,332
2025/05/29-22:09:51.700340,1748524191.700031019,309
2025/05/29-22:09:51.800774,1748524191.800463000,311
2025/05/29-22:09:51.901269,1748524191.900893389,375
2025/05/29-22:09:52.1732,1748524192.001389052,343
2025/05/29-22:09:52.102184,1748524192.101863066,321
2025/05/29-22:09:52.202652,1748524192.202316776,335
2025/05/29-22:09:52.303112,1748524192.302784300,328
2025/05/29-22:09:52.403539,1748524192.403233518,306
2025/05/29-22:09:52.504032,1748524192.503662809,369
2025/05/29-22:09:52.604493,1748524192.604152973,340
2025/05/29-22:09:52.704946,1748524192.704620362,326
2025/05/29-22:09:52.805393,1748524192.805074787,319
2025/05/29-22:09:52.905828,1748524192.905517368,310
2025/05/29-22:09:53.6287,1748524193.005950589,337
2025/05/29-22:09:53.106722,1748524193.106409870,312
2025/05/29-22:09:53.207159,1748524193.206846135,313
2025/05/29-22:09:53.307627,1748524193.307284829,342
2025/05/29-22:09:53.408082,1748524193.407748109,334
2025/05/29-22:09:53.508523,1748524193.508206385,317
2025/05/29-22:09:53.608986,1748524193.608640164,346
2025/05/29-22:09:53.709424,1748524193.709107872,317
2025/05/29-22:09:53.809903,1748524193.809536865,367
2025/05/29-22:09:53.910347,1748524193.910030268,317
2025/05/29-22:09:54.10787,1748524194.010469446,317
2025/05/29-22:09:54.111242,1748524194.110908860,333
2025/05/29-22:09:54.211651,1748524194.211354817,296
2025/05/29-22:09:54.312092,1748524194.311766519,325
2025/05/29-22:09:54.412536,1748524194.412215478,320
2025/05/29-22:09:54.512980,1748524194.512654980,325
2025/05/29-22:09:54.613488,1748524194.613099543,389
2025/05/29-22:09:54.714169,1748524194.713642025,527
2025/05/29-22:09:54.814843,1748524194.814312656,530
2025/05/29-22:09:54.915617,1748524194.914993200,624
2025/05/29-22:09:55.16419,1748524195.015767814,651
2025/05/29-22:09:55.117276,1748524195.116570225,705
2025/05/29-22:09:55.218192,1748524195.217452439,739
2025/05/29-22:09:55.318966,1748524195.318348684,617
2025/05/29-22:09:55.419819,1748524195.419111350,708
2025/05/29-22:09:55.520652,1748524195.519968761,683
2025/05/29-22:09:55.621447,1748524195.620799036,648
2025/05/29-22:09:55.722201,1748524195.721599700,601
2025/05/29-22:09:55.822939,1748524195.822342561,597
2025/05/29-22:09:55.923758,1748524195.923080584,678
2025/05/29-22:09:56.24540,1748524196.023912043,628
2025/05/29-22:09:56.125348,1748524196.124680816,667
2025/05/29-22:09:56.226181,1748524196.225501199,679
2025/05/29-22:09:56.327097,1748524196.326334666,762
2025/05/29-22:09:56.427921,1748524196.427244834,676
2025/05/29-22:09:56.528892,1748524196.528066599,825
2025/05/29-22:09:56.629649,1748524196.629032988,616
2025/05/29-22:09:56.730477,1748524196.729796747,680
2025/05/29-22:09:56.831258,1748524196.830625563,632
2025/05/29-22:09:56.932171,1748524196.931409894,761
2025/05/29-22:09:57.33011,1748524197.032315510,696
2025/05/29-22:09:57.133901,1748524197.133159421,741
2025/05/29-22:09:57.234688,1748524197.234054880,633
2025/05/29-22:09:57.335397,1748524197.334833703,563
2025/05/29-22:09:57.436193,1748524197.435548477,645
2025/05/29-22:09:57.536946,1748524197.536359741,587
2025/05/29-22:09:57.637711,1748524197.637090290,621
2025/05/29-22:09:57.738629,1748524197.737880415,748
2025/05/29-22:09:57.839721,1748524197.838803770,918
2025/05/29-22:09:57.940789,1748524197.939890989,898
2025/05/29-22:09:58.42127,1748524198.040944988,1182
2025/05/29-22:09:58.143097,1748524198.142278593,818
2025/05/29-22:09:58.244117,1748524198.243255292,862
2025/05/29-22:09:58.345025,1748524198.344270479,755
2025/05/29-22:09:58.445937,1748524198.445182257,754
2025/05/29-22:09:58.546800,1748524198.546093946,706
2025/05/29-22:09:58.647584,1748524198.646961615,622
2025/05/29-22:09:58.748419,1748524198.747740865,678
2025/05/29-22:09:58.849361,1748524198.848584172,777
2025/05/29-22:09:58.950168,1748524198.949504055,664
2025/05/29-22:09:59.51033,1748524199.050343937,689
2025/05/29-22:09:59.151952,1748524199.151197800,754
2025/05/29-22:09:59.252794,1748524199.252104354,690
2025/05/29-22:09:59.353708,1748524199.352952239,755
2025/05/29-22:09:59.454917,1748524199.453860125,1057
2025/05/29-22:09:59.555763,1748524199.555067517,696
2025/05/29-22:09:59.656547,1748524199.655908793,638
2025/05/29-22:09:59.757380,1748524199.756710875,669
2025/05/29-22:09:59.858292,1748524199.857547694,744
2025/05/29-22:09:59.959197,1748524199.958450129,747
2025/05/29-22:10:00.59999,1748524200.059340711,659
2025/05/29-22:10:00.160771,1748524200.160151475,620
2025/05/29-22:10:00.261564,1748524200.260923670,640
2025/05/29-22:10:00.362385,1748524200.361716392,669
2025/05/29-22:10:00.463194,1748524200.462543775,650
2025/05/29-22:10:00.564035,1748524200.563358890,676
2025/05/29-22:10:00.664877,1748524200.664202285,674
2025/05/29-22:10:00.765678,1748524200.765025880,652
2025/05/29-22:10:00.866461,1748524200.865825130,635
2025/05/29-22:10:00.967459,1748524200.966599274,859
2025/05/29-22:10:01.68246,1748524201.067596585,650
2025/05/29-22:10:01.169001,1748524201.168384954,616
2025/05/29-22:10:01.269862,1748524201.269143573,719
2025/05/29-22:10:01.370757,1748524201.370007404,749
2025/05/29-22:10:01.471744,1748524201.470910230,833
2025/05/29-22:10:01.572599,1748524201.571888802,710
2025/05/29-22:10:01.673436,1748524201.672740397,696
2025/05/29-22:10:01.774308,1748524201.773583720,724
2025/05/29-22:10:01.875131,1748524201.874453553,677
2025/05/29-22:10:01.975926,1748524201.975274773,651
2025/05/29-22:10:02.76908,1748524202.076082814,825
2025/05/29-22:10:02.177875,1748524202.177065705,809
2025/05/29-22:10:02.279201,1748524202.278042315,1159
2025/05/29-22:10:02.380045,1748524202.379348144,697
2025/05/29-22:10:02.480861,1748524202.480185079,676
2025/05/29-22:10:02.581638,1748524202.580997553,640
2025/05/29-22:10:02.682351,1748524202.681772994,578
2025/05/29-22:10:02.783081,1748524202.782491920,590
2025/05/29-22:10:02.883822,1748524202.883221524,600
2025/05/29-22:10:02.984603,1748524202.983956691,646
2025/05/29-22:10:03.85384,1748524203.084740619,643
2025/05/29-22:10:03.186210,1748524203.185523892,686
2025/05/29-22:10:03.286978,1748524203.286349559,629
2025/05/29-22:10:03.387735,1748524203.387116022,619
2025/05/29-22:10:03.488580,1748524203.487876174,704
2025/05/29-22:10:03.589348,1748524203.588713305,634
2025/05/29-22:10:03.690075,1748524203.689484278,591
2025/05/29-22:10:03.790878,1748524203.790225230,653
2025/05/29-22:10:03.891666,1748524203.891031170,635
2025/05/29-22:10:03.992435,1748524203.991804484,631
2025/05/29-22:10:04.93147,1748524204.092575101,571
2025/05/29-22:10:04.193863,1748524204.193284915,578
2025/05/29-22:10:04.294539,1748524204.293995496,544
2025/05/29-22:10:04.395285,1748524204.394669946,615
2025/05/29-22:10:04.496048,1748524204.495417511,631
2025/05/29-22:10:04.596834,1748524204.596183105,651
2025/05/29-22:10:04.697567,1748524204.696964807,602
2025/05/29-22:10:04.798351,1748524204.797704571,647
2025/05/29-22:10:04.899245,1748524204.898489325,756
2025/05/29-22:10:05.99,1748524204.999375391,725
2025/05/29-22:10:05.100798,1748524205.100230340,567
2025/05/29-22:10:05.201600,1748524205.200925862,674
2025/05/29-22:10:05.302392,1748524205.301726112,666
2025/05/29-22:10:05.405811,1748524205.402519178,3292
2025/05/29-22:10:05.506859,1748524205.505953809,906
2025/05/29-22:10:05.609776,1748524205.606984369,2792
2025/05/29-22:10:05.713784,1748524205.709903977,3880
2025/05/29-22:10:05.815902,1748524205.813906191,1995
2025/05/29-22:10:05.917794,1748524205.916020981,1773
