2025/05/29-22:29:24.682513,1748525364.682466695,47.23
2025/05/29-22:29:24.782661,1748525364.782608748,52.40
2025/05/29-22:29:24.882777,1748525364.882727357,50.35
2025/05/29-22:29:24.982898,1748525364.982846893,51.25
2025/05/29-22:29:25.083013,1748525365.082963495,50.47
2025/05/29-22:29:25.183125,1748525365.183076326,49.38
2025/05/29-22:29:25.283237,1748525365.283187333,50.47
2025/05/29-22:29:25.383348,1748525365.383299140,49.51
2025/05/29-22:29:25.483460,1748525365.483410755,50.20
2025/05/29-22:29:25.583572,1748525365.583522220,50.37
2025/05/29-22:29:25.683684,1748525365.683634273,49.92
2025/05/29-22:29:25.783796,1748525365.783745719,50.69
2025/05/29-22:29:25.883907,1748525365.883858121,49.71
2025/05/29-22:29:25.984026,1748525365.983974722,51.30
2025/05/29-22:29:26.084141,1748525366.084091441,50.41
2025/05/29-22:29:26.184257,1748525366.184204659,52.82
2025/05/29-22:29:26.284371,1748525366.284320052,51.03
2025/05/29-22:29:26.384488,1748525366.384436493,52.37
2025/05/29-22:29:26.484608,1748525366.484556330,51.86
2025/05/29-22:29:26.584722,1748525366.584671507,50.59
2025/05/29-22:29:26.684834,1748525366.684784618,49.59
2025/05/29-22:29:26.784946,1748525366.784896083,49.97
2025/05/29-22:29:26.885058,1748525366.885008011,50.53
2025/05/29-22:29:26.985174,1748525366.985123368,51.12
2025/05/29-22:29:27.085290,1748525367.085239736,50.42
2025/05/29-22:29:27.185402,1748525367.185352126,50.39
2025/05/29-22:29:27.285514,1748525367.285464275,50.18
2025/05/29-22:29:27.385626,1748525367.385576238,49.80
2025/05/29-22:29:27.485738,1748525367.485688128,50.14
2025/05/29-22:29:27.585849,1748525367.585799194,50.23
2025/05/29-22:29:27.685963,1748525367.685911006,52.12
2025/05/29-22:29:27.786075,1748525367.786025964,49.73
2025/05/29-22:29:27.886194,1748525367.886140688,54.06
2025/05/29-22:29:27.986316,1748525367.986265114,51.74
2025/05/29-22:29:28.086431,1748525368.086382082,49.44
2025/05/29-22:29:28.186543,1748525368.186493587,50.35
2025/05/29-22:29:28.286655,1748525368.286605864,49.98
2025/05/29-22:29:28.386767,1748525368.386717796,49.85
2025/05/29-22:29:28.486879,1748525368.486829253,50.18
2025/05/29-22:29:28.586990,1748525368.586940610,49.71
2025/05/29-22:29:28.687104,1748525368.687051077,53.08
2025/05/29-22:29:28.787215,1748525368.787165329,50.12
2025/05/29-22:29:28.887330,1748525368.887280164,50.34
2025/05/29-22:29:28.987445,1748525368.987394806,51.08
2025/05/29-22:29:29.087556,1748525369.087508012,48.67
2025/05/29-22:29:29.187668,1748525369.187618483,50.06
2025/05/29-22:29:29.287781,1748525369.287730282,51.48
2025/05/29-22:29:29.387859,1748525369.387806750,52.31
2025/05/29-22:29:29.487979,1748525369.487928412,51.53
2025/05/29-22:29:29.588095,1748525369.588044225,50.98
2025/05/29-22:29:29.688207,1748525369.688158228,49.72
2025/05/29-22:29:29.788319,1748525369.788270131,49.32
2025/05/29-22:29:29.888432,1748525369.888382099,50.08
2025/05/29-22:29:29.988568,1748525369.988495435,72.96
2025/05/29-22:29:30.088704,1748525370.088630581,74.19
2025/05/29-22:29:30.188840,1748525370.188767350,73.41
2025/05/29-22:29:30.288978,1748525370.288903379,75.02
2025/05/29-22:29:30.389119,1748525370.389040584,78.54
2025/05/29-22:29:30.489258,1748525370.489181713,76.95
2025/05/29-22:29:30.589395,1748525370.589320577,74.81
2025/05/29-22:29:30.689530,1748525370.689458034,72.73
2025/05/29-22:29:30.789669,1748525370.789593203,76.03
2025/05/29-22:29:30.889808,1748525370.889732245,76.03
2025/05/29-22:29:30.989946,1748525370.989870803,75.89
2025/05/29-22:29:31.090085,1748525371.090009454,76.10
2025/05/29-22:29:31.190223,1748525371.190147707,75.38
2025/05/29-22:29:31.290361,1748525371.290286523,75.09
2025/05/29-22:29:31.390499,1748525371.390424719,74.72
2025/05/29-22:29:31.490635,1748525371.490561108,74.46
2025/05/29-22:29:31.590774,1748525371.590697730,77.04
2025/05/29-22:29:31.690913,1748525371.690836595,76.87
2025/05/29-22:29:31.791064,1748525371.790976340,87.99
2025/05/29-22:29:31.891206,1748525371.891127113,79.18
2025/05/29-22:29:31.991343,1748525371.991268093,75.83
2025/05/29-22:29:32.091481,1748525372.091406173,75.26
2025/05/29-22:29:32.191617,1748525372.191544141,73.14
2025/05/29-22:29:32.291776,1748525372.291700076,76.61
2025/05/29-22:29:32.391917,1748525372.391840860,76.34
2025/05/29-22:29:32.492055,1748525372.491980143,75.23
2025/05/29-22:29:32.592191,1748525372.592118066,73.64
2025/05/29-22:29:32.692331,1748525372.692254522,76.55
2025/05/29-22:29:32.792477,1748525372.792395282,82.04
2025/05/29-22:29:32.892619,1748525372.892539681,80.08
2025/05/29-22:29:32.992768,1748525372.992681719,86.46
2025/05/29-22:29:33.092938,1748525373.092830421,107.59
2025/05/29-22:29:33.193099,1748525373.193001099,97.91
2025/05/29-22:29:33.293250,1748525373.293162317,88.65
2025/05/29-22:29:33.393396,1748525373.393313009,83.87
2025/05/29-22:29:33.493540,1748525373.493459813,80.91
2025/05/29-22:29:33.593685,1748525373.593603375,81.76
2025/05/29-22:29:33.693826,1748525373.693747739,79.16
2025/05/29-22:29:33.793967,1748525373.793889642,78.03
2025/05/29-22:29:33.894108,1748525373.894030263,78.00
2025/05/29-22:29:33.994250,1748525373.994171165,78.97
2025/05/29-22:29:34.094393,1748525374.094313640,80.05
2025/05/29-22:29:34.194539,1748525374.194455992,83.71
2025/05/29-22:29:34.294688,1748525374.294602208,86.11
2025/05/29-22:29:34.394830,1748525374.394750534,79.73
2025/05/29-22:29:34.494970,1748525374.494892698,77.73
2025/05/29-22:29:34.595116,1748525374.595032677,83.62
2025/05/29-22:29:34.695254,1748525374.695178456,75.99
2025/05/29-22:29:34.795398,1748525374.795322035,76.03
2025/05/29-22:29:34.895536,1748525374.895460548,76.14
2025/05/29-22:29:34.995678,1748525374.995598385,80.57
2025/05/29-22:29:35.095833,1748525375.095741483,92.04
2025/05/29-22:29:35.195976,1748525375.195896759,80.19
2025/05/29-22:29:35.296118,1748525375.296039439,79.47
2025/05/29-22:29:35.396261,1748525375.396181509,79.55
2025/05/29-22:29:35.496401,1748525375.496323785,77.73
2025/05/29-22:29:35.596543,1748525375.596464347,78.68
2025/05/29-22:29:35.696679,1748525375.696605340,74.17
2025/05/29-22:29:35.796818,1748525375.796742245,75.89
2025/05/29-22:29:35.896970,1748525375.896880247,89.82
2025/05/29-22:29:35.997108,1748525375.997032280,76.40
2025/05/29-22:29:36.097246,1748525376.097170258,76.23
2025/05/29-22:29:36.197384,1748525376.197308508,75.76
2025/05/29-22:29:36.297519,1748525376.297447460,72.41
2025/05/29-22:29:36.397657,1748525376.397582399,75.48
